CDM project reference number,Completion Date,Status,Total,HostParty,Issuance process ID,tots
8414,2022-09-28,Cancelled,23234,PE,COMBINEDCANCELLED-8414,23233
8438,2023-08-16,Cancelled,10758,GH,COMBINEDCANCELLED-8438,97757
8456,2022-04-12,Cancelled,474731,CI,COMBINEDCANCELLED-8456,474730
8474,2022-06-13,Cancelled,79201,BR,COMBINEDCANCELLED-8474,54588995
8480,2023-08-09,Cancelled,228334,GT,COMBINEDCANCELLED-8480,1198987
8495,2020-07-03,Cancelled,5082,IN,COMBINEDCANCELLED-8495,5081
8500,2023-08-17,Cancelled,119667,BR,COMBINEDCANCELLED-8500,119666
8524,2018-07-02,Cancelled,96363,IN,COMBINEDCANCELLED-8524,96362
8555,2022-06-30,Cancelled,60025,CN,COMBINEDCANCELLED-8555,60024
8591,2019-07-12,Cancelled,69214,IN,COMBINEDCANCELLED-8591,69213
8606,2022-05-31,Cancelled,576062,IN,COMBINEDCANCELLED-8606,81340647
8671,2019-02-06,Cancelled,15000,IN,COMBINEDCANCELLED-8671,14999
8756,2022-04-22,Cancelled,16021,CO,COMBINEDCANCELLED-8756,16020
8759,2023-04-12,Cancelled,25100,CO,COMBINEDCANCELLED-8759,25099
8784,2021-09-17,Cancelled,43371,IN,COMBINEDCANCELLED-8784,31347554
8855,2023-08-28,Cancelled,51017,IN,COMBINEDCANCELLED-8855,79516980
8879,2022-10-24,Cancelled,150452,CO,COMBINEDCANCELLED-8879,7550354
8890,2019-03-04,Cancelled,40,IN,COMBINEDCANCELLED-8890,39
8914,2022-11-30,Cancelled,2950,CL,COMBINEDCANCELLED-8914,2949
8916,2023-01-04,Cancelled,650952,CN,COMBINEDCANCELLED-8916,650951
8917,2022-10-06,Cancelled,106340,IN,COMBINEDCANCELLED-8917,106339
8918,2020-10-16,Cancelled,74576,CO,COMBINEDCANCELLED-8918,74575
8921,2023-03-03,Cancelled,12551,CN,COMBINEDCANCELLED-8921,12550
8950,2023-06-13,Cancelled,68674,HN,COMBINEDCANCELLED-8950,1649569
8954,2023-03-24,Cancelled,29315,ZA,COMBINEDCANCELLED-8954,29314
8960,2023-08-18,Cancelled,102756,PH,COMBINEDCANCELLED-8960,102755
8971,2020-12-12,Cancelled,23560,IN,COMBINEDCANCELLED-8971,24040
8978,2023-05-30,Cancelled,36887,CN,COMBINEDCANCELLED-8978,36886
8981,2023-05-05,Cancelled,21798,CL,COMBINEDCANCELLED-8981,28225
9007,2021-08-18,Cancelled,378832,MW,COMBINEDCANCELLED-9007,2584125
9044,2023-02-10,Cancelled,458,CL,COMBINEDCANCELLED-9044,457
9047,2019-09-17,Cancelled,34439,MA,COMBINEDCANCELLED-9047,34438
9062,2022-03-16,Cancelled,178374,CN,COMBINEDCANCELLED-9062,178373
9063,2023-01-04,Cancelled,501525,BR,COMBINEDCANCELLED-9063,37877914
9064,2023-07-04,Cancelled,1324,BR,COMBINEDCANCELLED-9064,1323
9069,2023-08-30,Cancelled,31975,BR,COMBINEDCANCELLED-9069,31974
9074,2023-07-04,Cancelled,76015,LK,COMBINEDCANCELLED-9074,248445
9095,2023-08-21,Cancelled,4401,UY,COMBINEDCANCELLED-9095,4400
9111,2021-12-23,Cancelled,63218,IN,COMBINEDCANCELLED-9111,63217
9113,2022-04-20,Cancelled,60000,IN,COMBINEDCANCELLED-9113,59999
9118,2023-04-20,Cancelled,219272,NI,COMBINEDCANCELLED-9118,219271
9124,2020-12-07,Cancelled,43162,IN,COMBINEDCANCELLED-9124,43161
9154,2022-05-31,Cancelled,954145,IN,COMBINEDCANCELLED-9154,79843865
9165,2023-08-22,Cancelled,13824,KR,COMBINEDCANCELLED-9165,205703
9173,2022-12-06,Cancelled,39300,CN,COMBINEDCANCELLED-9173,39299
9176,2021-07-28,Cancelled,81262,HN,COMBINEDCANCELLED-9176,180249
9181,2022-09-08,Cancelled,119291,IN,COMBINEDCANCELLED-9181,15847293
9185,2021-06-15,Cancelled,117000,IN,COMBINEDCANCELLED-9185,116999
9199,2018-07-27,Cancelled,1257195,CO,COMBINEDCANCELLED-9199,1264686
9212,2022-01-20,Cancelled,82026,IN,COMBINEDCANCELLED-9212,82025
9216,2023-06-01,Cancelled,10107,IN,COMBINEDCANCELLED-9216,10106
9226,2023-07-27,Cancelled,74591,BR,COMBINEDCANCELLED-9226,74590
9235,2022-10-13,Cancelled,211583,IN,COMBINEDCANCELLED-9235,211582
9247,2023-08-03,Cancelled,26545,KR,COMBINEDCANCELLED-9247,4493451
9251,2023-08-10,Cancelled,183550,CL,COMBINEDCANCELLED-9251,240369
9265,2023-02-01,Cancelled,277986,KE,COMBINEDCANCELLED-9265,5683297
9291,2018-09-14,Cancelled,3582,CN,COMBINEDCANCELLED-9291,3581
9297,2019-07-12,Cancelled,20614,IN,COMBINEDCANCELLED-9297,20613
9301,2023-02-16,Cancelled,5524818,BR,COMBINEDCANCELLED-9301,38369400
9306,2019-09-24,Cancelled,13558,GT,COMBINEDCANCELLED-9306,13557
9330,2023-08-08,Cancelled,18778,IN,COMBINEDCANCELLED-9330,42725028
9342,2019-07-12,Cancelled,124176,IN,COMBINEDCANCELLED-9342,124175
9347,2022-05-25,Cancelled,6298,IN,COMBINEDCANCELLED-9347,6297
9376,2022-06-21,Cancelled,556561,IN,COMBINEDCANCELLED-9376,71283145
9402,2023-07-21,Cancelled,31137,IN,COMBINEDCANCELLED-9402,31136
9418,2023-08-22,Cancelled,186429,IN,COMBINEDCANCELLED-9418,186428
9430,2023-08-28,Cancelled,173001,IN,COMBINEDCANCELLED-9430,173000
9460,2022-11-16,Cancelled,76669,IN,COMBINEDCANCELLED-9460,76668
9472,2019-07-12,Cancelled,15996,IN,COMBINEDCANCELLED-9472,15995
9510,2023-01-23,Cancelled,3164,FJ,COMBINEDCANCELLED-9510,3163
9571,2023-04-04,Cancelled,19227,IN,COMBINEDCANCELLED-9571,19226
9605,2023-07-26,Cancelled,35000,IN,COMBINEDCANCELLED-9605,34999
9610,2022-03-16,Cancelled,14482,IN,COMBINEDCANCELLED-9610,43168586
9620,2023-08-28,Cancelled,29989,UG,COMBINEDCANCELLED-9620,29988
9625,2023-08-30,Cancelled,57182,IN,COMBINEDCANCELLED-9625,58256861
9626,2023-05-15,Cancelled,575027,RW,COMBINEDCANCELLED-9626,1351265
9630,2023-08-28,Cancelled,14884,IN,COMBINEDCANCELLED-9630,14883
9631,2018-02-01,Cancelled,23917,LK,COMBINEDCANCELLED-9631,23916
9651,2022-11-02,Cancelled,450,IN,COMBINEDCANCELLED-9651,449
9697,2021-10-01,Cancelled,22988,IN,COMBINEDCANCELLED-9697,22987
9699,2022-11-04,Cancelled,8000,IN,COMBINEDCANCELLED-9699,7999
9705,2022-02-25,Cancelled,62842,LK,COMBINEDCANCELLED-9705,295104
9708,2020-10-27,Cancelled,55922,NE,COMBINEDCANCELLED-9708,152582
9740,2022-11-02,Cancelled,167847,IN,COMBINEDCANCELLED-9740,36408031
9746,2023-08-02,Cancelled,66645,CN,COMBINEDCANCELLED-9746,66644
9798,2023-08-15,Cancelled,26956,CO,COMBINEDCANCELLED-9798,8032760
9830,2023-05-12,Cancelled,335886,CO,COMBINEDCANCELLED-9830,4545761
9849,2018-06-20,Cancelled,38854,PK,COMBINEDCANCELLED-9849,38853
9887,2021-10-01,Cancelled,32947,IN,COMBINEDCANCELLED-9887,32946
9925,2022-12-07,Cancelled,108201,BR,COMBINEDCANCELLED-9925,34530604
9927,2022-12-18,Cancelled,67888,IN,COMBINEDCANCELLED-9927,21941496
9933,2023-08-30,Cancelled,55107,MW,COMBINEDCANCELLED-9933,4285134
9935,2023-08-30,Cancelled,30733,MW,COMBINEDCANCELLED-9935,30732
9941,2023-04-04,Cancelled,16012,ML,COMBINEDCANCELLED-9941,263953
9943,2020-11-05,Cancelled,55,BR,COMBINEDCANCELLED-9943,54
9948,2021-11-12,Cancelled,914208,UG,COMBINEDCANCELLED-9948,9805367
9956,2022-11-07,Cancelled,333732,UG,COMBINEDCANCELLED-9956,333731
9973,2019-09-18,Cancelled,70016,IN,COMBINEDCANCELLED-9973,88278
9977,2022-08-22,Cancelled,68257,BF,COMBINEDCANCELLED-9977,147962
9981,2021-05-05,Cancelled,12388,MZ,COMBINEDCANCELLED-9981,12387
9990,2022-06-07,Cancelled,22083,LK,COMBINEDCANCELLED-9990,139162
10004,2022-08-01,Cancelled,236681,ZA,COMBINEDCANCELLED-10004,400989
10006,2021-06-15,Cancelled,92906,SA,COMBINEDCANCELLED-10006,151802
10055,2023-08-31,Cancelled,76893,MX,COMBINEDCANCELLED-10055,76892
10066,2022-04-22,Cancelled,128657,IN,COMBINEDCANCELLED-10066,128656
10070,2022-10-19,Cancelled,74039,CL,COMBINEDCANCELLED-10070,298538
10073,2022-11-02,Cancelled,84098,IN,COMBINEDCANCELLED-10073,84097
10076,2018-06-28,Cancelled,22901,IN,COMBINEDCANCELLED-10076,22900
10100,2018-09-26,Cancelled,2936,IN,COMBINEDCANCELLED-10100,2935
10110,2022-08-10,Cancelled,22670,IN,COMBINEDCANCELLED-10110,22669
10122,2022-01-11,Cancelled,17042,IN,COMBINEDCANCELLED-10122,17041
10125,2021-10-01,Cancelled,39997,IN,COMBINEDCANCELLED-10125,39996
10140,2022-02-24,Cancelled,51007,IN,COMBINEDCANCELLED-10140,51006
10165,2022-04-12,Cancelled,199210,IN,COMBINEDCANCELLED-10165,199209
10182,2023-08-08,Cancelled,6672,MW,COMBINEDCANCELLED-10182,2860867
10183,2018-12-07,Cancelled,20000,IN,COMBINEDCANCELLED-10183,19999
10186,2023-05-22,Cancelled,366685,UG,COMBINEDCANCELLED-10186,5871983
10212,2022-10-21,Cancelled,20864,IN,COMBINEDCANCELLED-10212,20863
10236,2023-08-18,Cancelled,4175622,CO,COMBINEDCANCELLED-10236,5500713
10238,2022-05-30,Cancelled,56610,IN,COMBINEDCANCELLED-10238,56609
10261,2022-04-08,Cancelled,1134577,BR,COMBINEDCANCELLED-10261,10253960
10262,2023-08-31,Cancelled,758,IN,COMBINEDCANCELLED-10262,757
10268,2021-06-04,Cancelled,20153,ET,COMBINEDCANCELLED-10268,20152
10269,2022-04-01,Cancelled,10000,IN,COMBINEDCANCELLED-10269,9999
10285,2020-05-14,Cancelled,22744,ET,COMBINEDCANCELLED-10285,22743
10286,2021-01-08,Cancelled,103008,BR,COMBINEDCANCELLED-10286,103007
10288,2021-06-10,Cancelled,17248,IN,COMBINEDCANCELLED-10288,17247
10317,2018-01-16,Cancelled,9039,MU,COMBINEDCANCELLED-10317,9038
10345,2021-11-27,Cancelled,12407,UG,COMBINEDCANCELLED-10345,2986211
10360,2023-08-26,Cancelled,18771,IN,COMBINEDCANCELLED-10360,40058980
10379,2021-04-08,Cancelled,48260,KR,COMBINEDCANCELLED-10379,6890276
10392,2022-05-06,Cancelled,60048,IN,COMBINEDCANCELLED-10392,60047
10393,2022-02-24,Cancelled,59503,IN,COMBINEDCANCELLED-10393,59502
10403,2022-09-15,Cancelled,375067,IN,COMBINEDCANCELLED-10403,35047614
10404,2022-03-17,Cancelled,262709,IN,COMBINEDCANCELLED-10404,6532031
10415,2020-05-20,Cancelled,205517,MM,COMBINEDCANCELLED-10415,2240015
10430,2021-09-30,Cancelled,50846,GH,COMBINEDCANCELLED-10430,72556
10431,2021-08-12,Cancelled,1042581,BD,COMBINEDCANCELLED-10431,7902913
10441,2022-08-26,Cancelled,36000,LK,COMBINEDCANCELLED-10441,35999
10476,2021-09-28,Cancelled,2156,KE,COMBINEDCANCELLED-10476,2155
10496,2021-09-16,Cancelled,29178,IN,COMBINEDCANCELLED-10496,29177
10512,2022-05-11,Cancelled,456395,BD,COMBINEDCANCELLED-10512,456394
10524,2021-06-29,Cancelled,72516,VN,COMBINEDCANCELLED-10524,1543936
10535,2021-10-05,Cancelled,43058,VN,COMBINEDCANCELLED-10535,894653
10537,2021-09-28,Cancelled,21872,MU,COMBINEDCANCELLED-10537,21871
10543,2021-08-30,Cancelled,17224,MU,COMBINEDCANCELLED-10543,17223
10573,2023-01-04,Cancelled,140950,IN,COMBINEDCANCELLED-10573,140949
10584,2023-05-11,Cancelled,252914,OM,COMBINEDCANCELLED-10584,255232
