CDM project reference number,Completion Date,Status,Total,HostParty,Issuance process ID,tots
814,2017-03-22,Cancelled,11942,IN,COMBINEDCANCELLED-814,55680360
822,2021-04-16,Cancelled,129945,CL,COMBINEDCANCELLED-822,967629
831,2018-10-23,Cancelled,45012,BR,COMBINEDCANCELLED-831,45011
835,2019-07-03,Cancelled,280729,KR,COMBINEDCANCELLED-835,79717468
836,2020-06-15,Cancelled,50000,IN,COMBINEDCANCELLED-836,65822
846,2020-06-23,Cancelled,11860,MX,COMBINEDCANCELLED-846,11859
847,2017-03-22,Cancelled,13006,IN,COMBINEDCANCELLED-847,26886790
851,2022-12-05,Cancelled,2839809,KR,COMBINEDCANCELLED-851,49603290
888,2014-11-17,Cancelled,160000,BR,COMBINEDCANCELLED-888,159999
904,2017-06-27,Cancelled,8498,CN,COMBINEDCANCELLED-904,453482477
911,2014-10-21,Cancelled,5000,BR,COMBINEDCANCELLED-911,4999
918,2014-02-04,Cancelled,5180,CU,COMBINEDCANCELLED-918,5179
921,2016-03-21,Cancelled,1999,IN,COMBINEDCANCELLED-921,1998
922,2022-01-19,Cancelled,1967395,KR,COMBINEDCANCELLED-922,54371330
923,2023-08-23,Cancelled,137172,IN,COMBINEDCANCELLED-923,91239570
925,2021-04-21,Cancelled,548962,ZA,COMBINEDCANCELLED-925,9842253
935,2020-11-11,Cancelled,52611,IN,COMBINEDCANCELLED-935,84565823
941,2022-11-16,Cancelled,5973435,KR,COMBINEDCANCELLED-941,93940373
950,2022-07-19,Cancelled,25000,AR,COMBINEDCANCELLED-950,24999
961,2022-01-18,Cancelled,4567159,ZA,COMBINEDCANCELLED-961,15347816
968,2023-08-17,Cancelled,571109,BR,COMBINEDCANCELLED-968,80770272
986,2019-06-06,Cancelled,10327,IN,COMBINEDCANCELLED-986,51033781
1000,2016-10-11,Cancelled,156991,KR,COMBINEDCANCELLED-1000,58169033
1011,2013-06-11,Cancelled,300,BR,COMBINEDCANCELLED-1011,299
1026,2021-09-27,Cancelled,300000,TH,COMBINEDCANCELLED-1026,2721871
1027,2022-03-02,Cancelled,598593,ZA,COMBINEDCANCELLED-1027,605803
1052,2021-02-03,Cancelled,71078,CL,COMBINEDCANCELLED-1052,9497206
1115,2021-10-01,Cancelled,187485,IN,COMBINEDCANCELLED-1115,87747287
1123,2022-01-06,Cancelled,406147,MX,COMBINEDCANCELLED-1123,12984624
1134,2023-08-24,Cancelled,67709,BR,COMBINEDCANCELLED-1134,97708
1139,2021-07-01,Cancelled,64180,IN,COMBINEDCANCELLED-1139,64179
1140,2023-03-14,Cancelled,13814,IN,COMBINEDCANCELLED-1140,13813
1144,2013-02-08,Cancelled,7350,ID,COMBINEDCANCELLED-1144,205310
1145,2021-07-26,Cancelled,44230,IN,COMBINEDCANCELLED-1145,69672286
1151,2022-03-28,Cancelled,38787,IN,COMBINEDCANCELLED-1151,65117906
1166,2020-11-26,Cancelled,102773,IN,COMBINEDCANCELLED-1166,42549459
1167,2022-02-16,Cancelled,2480,IN,COMBINEDCANCELLED-1167,2479
1168,2023-08-02,Cancelled,226863,IN,COMBINEDCANCELLED-1168,125847218
1171,2020-10-09,Cancelled,63546,ZA,COMBINEDCANCELLED-1171,4185162
1203,2017-05-16,Cancelled,53863,IN,COMBINEDCANCELLED-1203,53862
1229,2022-06-21,Cancelled,319920,CL,COMBINEDCANCELLED-1229,4497618
1232,2016-03-30,Cancelled,12867,BR,COMBINEDCANCELLED-1232,12866
1247,2021-11-11,Cancelled,199855,BR,COMBINEDCANCELLED-1247,199854
1253,2021-08-23,Cancelled,22714,IN,COMBINEDCANCELLED-1253,29741746
1254,2023-03-28,Cancelled,352930,IN,COMBINEDCANCELLED-1254,63823201
1259,2023-08-11,Cancelled,194903,IN,COMBINEDCANCELLED-1259,125409155
1265,2021-08-20,Cancelled,44725,CL,COMBINEDCANCELLED-1265,3688014
1268,2022-09-21,Cancelled,104882,IN,COMBINEDCANCELLED-1268,31283233
1269,2021-06-21,Cancelled,9940,CN,COMBINEDCANCELLED-1269,9939
1279,2023-08-30,Cancelled,77517,BR,COMBINEDCANCELLED-1279,375288
1280,2020-12-30,Cancelled,1663,IN,COMBINEDCANCELLED-1280,1662
1284,2023-06-12,Cancelled,248994,CN,COMBINEDCANCELLED-1284,367621688
1286,2022-09-21,Cancelled,21506,IN,COMBINEDCANCELLED-1286,21505
1291,2020-11-26,Cancelled,194526,IN,COMBINEDCANCELLED-1291,41316314
1300,2023-08-25,Cancelled,317088,IN,COMBINEDCANCELLED-1300,50970813
1307,2022-09-13,Cancelled,31011,MX,COMBINEDCANCELLED-1307,31010
1314,2023-07-26,Cancelled,31693,CR,COMBINEDCANCELLED-1314,131692
1317,2016-03-07,Cancelled,27582,BR,COMBINEDCANCELLED-1317,27581
1326,2020-04-08,Cancelled,330513,IN,COMBINEDCANCELLED-1326,330512
1342,2016-03-11,Cancelled,6548,BR,COMBINEDCANCELLED-1342,6547
