HostParty,CDM project reference number,Issuance process ID,Issuance date,Monitoring report started,Monitoring report ended
CN,1262,RWTUV1326792923.61,25/5/12,2011-01-07,2011-12-31
CN,1569,SGS-UKL1236594095.46,25/5/12,2008-12-06,2008-10-25
MY,867,SIRIM1294645768.62,25/5/12,2009-01-02,2010-12-31
CN,3703,TUEV-RHEIN1313732960.28,25/5/12,2011-06-01,2011-07-20
CN,1749,TUEV-RHEIN1323744788.87,25/5/12,2011-01-05,2011-11-30
MX,880,DNV-CUK1302529965.55,24/5/12,2010-01-02,2011-02-28
MX,161,DNV-CUK1304083684.06,24/5/12,2010-01-10,2011-03-31
CN,600,SGS-UKL1320928881.9,24/5/12,2009-06-17,2010-05-18
CN,2140,BVQI1324372967.43,23/5/12,2010-01-12,2011-11-30
BR,337,DNV-CUK1303979125.43,23/5/12,2010-01-09,2011-03-31
IN,2128,DNV-CUK1322486687.76,23/5/12,2010-01-09,2011-09-30
HN,154,DNV-CUK1325169824.33,23/5/12,2010-01-02,2011-11-30
KR,2302,JACO1327995481.75,23/5/12,2010-01-06,2011-05-31
CN,3029,RINA1322148763.93,23/5/12,2011-01-05,2011-10-31
IN,313,TUEV-RHEIN1321599337.55,23/5/12,2008-08-17,2011-07-31
CN,3743,BVQI1315377331.39,22/5/12,2010-11-30,2011-07-31
CN,2756,CEC1309419562.07,22/5/12,2010-03-26,2011-05-25
BR,411,DNV-CUK1221556687.28,22/5/12,2010-01-06,2011-02-28
MX,464,DNV-CUK1283846603.08,22/5/12,2009-01-08,2010-07-31
BR,336,DNV-CUK1303979285.9,22/5/12,2010-01-09,2011-03-31
CN,1987,DNV-CUK1319799035.04,22/5/12,2010-10-21,2011-10-20
IN,803,DNV-CUK1325500890.89,22/5/12,2008-04-20,2011-10-04
CN,3621,ERM-CVS1327511086.32,22/5/12,2011-02-24,2011-12-23
CN,2675,JCI1306400986.68,22/5/12,2009-02-12,2011-01-04
CN,1262,RWTUV1311247443.43,22/5/12,2011-01-04,2011-06-30
CN,1338,SGS-UKL1321630747.57,22/5/12,2011-01-01,2011-09-30
CN,1478,TECO1310383114.38,22/5/12,2010-06-29,2011-06-25
CN,3272,TUEV-RHEIN1313980314.35,22/5/12,2010-03-12,2011-07-20
CN,2866,BVQI1323893217.35,21/5/12,2011-01-30,2011-11-28
CN,2874,CEC1296188320.38,21/5/12,2010-03-22,2011-01-20
MX,120,DNV-CUK1272924360.68,21/5/12,2009-01-11,2010-03-31
MX,162,DNV-CUK1290462502.17,21/5/12,2010-01-06,2010-10-31
BR,421,DNV-CUK1302530954.96,21/5/12,2009-01-12,2011-02-28
BR,420,DNV-CUK1303978195.93,21/5/12,2010-01-06,2011-03-31
MX,120,DNV-CUK1304083453.62,21/5/12,2010-01-10,2011-03-31
IN,1053,DNV-CUK1324298738.64,21/5/12,2010-07-15,2011-10-19
IN,1287,DNV-CUK1324646079.26,21/5/12,2011-01-04,2011-10-31
CN,3529,DNV-CUK1326884660.43,21/5/12,2010-12-26,2011-12-26
BR,116,ERM-CVS1329816477.32,21/5/12,2012-01-01,2012-02-14
CN,4153,Germanischer1323761780.66,21/5/12,2011-03-17,2011-11-30
KR,222,JACO1326848640.47,21/5/12,2011-01-01,2011-12-31
KR,290,JACO1327567684.1,21/5/12,2011-01-01,2011-12-31
CN,2741,JCI1328669713.4,21/5/12,2011-01-07,2011-12-31
IN,2613,KBS_Cert1323147190.38,21/5/12,2010-02-10,2011-01-11
CN,3524,LRQA Ltd1328173750.52,21/5/12,2011-01-12,2012-01-31
CN,4080,RINA1322477726.44,21/5/12,2011-01-04,2011-10-28
IN,1059,RWTUV1304853920.38,21/5/12,2010-01-04,2011-03-31
CN,1886,RWTUV1314078293.1,21/5/12,2010-08-30,2011-06-28
VN,3858,RWTUV1316624953.67,21/5/12,2010-12-13,2011-08-31
IN,2347,RWTUV1322221952.19,21/5/12,2011-01-03,2011-08-31
MX,728,RWTUV1328656035.98,21/5/12,2011-01-10,2011-12-31
CN,883,SGS-UKL1322567380.12,21/5/12,2010-01-11,2011-10-31
CN,2580,SGS-UKL1326390398.24,21/5/12,2011-01-06,2011-12-31
IN,1550,SGS-UKL1327394779.91,21/5/12,2011-01-01,2011-12-31
IN,838,SGS-UKL1328633697.42,21/5/12,2011-01-11,2012-01-31
CN,2539,TECO1317360294.39,21/5/12,2011-04-26,2011-08-25
CN,1343,BVQI1312284547.67,18/5/12,2011-01-01,2011-06-30
CN,1344,BVQI1312355945.55,18/5/12,2011-01-01,2011-06-30
CN,3011,BVQI1326443429.86,18/5/12,2011-01-01,2011-12-31
CN,3544,China Quality1314321960.77,18/5/12,2010-11-09,2011-07-25
BR,466,DNV-CUK1279538891.29,18/5/12,2007-01-10,2010-05-31
CN,4034,DNV-CUK1314802329.91,18/5/12,2011-08-01,2011-07-31
IN,850,DNV-CUK1324364638.65,18/5/12,2010-01-11,2011-11-30
NG,2029,ERM-CVS1320407552.49,18/5/12,2011-01-08,2011-10-31
CO,194,ICONTEC1301064621.13,18/5/12,2009-01-01,2011-01-30
BR,209,RWTUV1241086375.17,18/5/12,2008-01-01,2008-12-31
IN,986,RWTUV1317314952.52,18/5/12,2008-02-04,2011-01-08
CN,3768,RWTUV1317032663.94,17/5/12,2010-03-12,2011-06-27
CN,3882,TECO1315210333.14,16/5/12,2011-11-01,2011-08-31
IN,1003,TUEV-RHEIN1306824158.72,16/5/12,2010-01-04,2011-03-31
CN,1947,RWTUV1328167206.57,15/5/12,2011-01-11,2012-01-31
IN,743,TUEV-RHEIN1300784914.17,15/5/12,2007-04-16,2010-12-31
IN,1778,TUEV-RHEIN1320895855.42,15/5/12,2010-01-07,2011-09-30
ZA,961,TUEV-SUED1269616107.2,15/5/12,2008-10-08,2009-03-08
MX,151,TUEV-SUED1315552733.64,15/5/12,2010-12-31,2011-06-13
CN,1859,BVQI1294396522.68,14/5/12,2010-03-28,2010-09-27
BR,2486,DNV-CUK1321871294.0,14/5/12,2011-01-03,2011-10-31
CN,2817,DNV-CUK1324297261.16,14/5/12,2010-02-04,2011-11-30
NI,2315,RWTUV1285429725.02,14/5/12,2009-01-10,2010-08-31
IN,1568,RWTUV1300378408.17,14/5/12,2009-01-04,2010-03-31
IN,3445,RWTUV1319113193.73,14/5/12,2010-08-31,2011-08-30
CN,3934,SGS-UKL1314090004.56,14/5/12,2011-05-01,2011-05-31
CN,1129,SGS-UKL1326906333.97,14/5/12,2010-12-25,2011-12-24
MY,2185,SIRIM1267762394.52,14/5/12,2009-01-06,2009-12-31
MY,1186,SQS1294390913.59,14/5/12,2007-12-21,2010-12-31
CN,2859,BVQI1300979278.94,11/5/12,2009-12-23,2011-01-31
CN,3101,DNV-CUK1299235710.85,11/5/12,2010-01-08,2011-02-28
TH,2556,Germanischer1298985888.29,11/5/12,2009-10-11,2010-12-31
CN,2592,JCI1303374322.46,11/5/12,2009-08-24,2010-12-18
CN,4859,RWTUV1318588918.99,11/5/12,2011-03-06,2011-09-30
IN,75,SGS-UKL1306314022.71,11/5/12,2009-01-04,2011-02-20
CN,2589,SGS-UKL1321625911.59,11/5/12,2010-09-28,2011-09-27
CN,4312,RWTUV1315202966.67,10/5/12,2011-06-01,2011-08-31
CN,3180,TUEV-SUED1320662404.33,10/5/12,2011-01-04,2011-10-31
CN,2108,China Quality1317988823.18,9/5/12,2010-05-30,2011-08-29
IN,1579,DNV-CUK1258714403.96,9/5/12,2008-02-05,2009-03-31
CN,2460,DNV-CUK1306333939.91,9/5/12,2009-07-08,2011-03-25
KR,584,KFQ1300092833.35,8/5/12,2010-01-01,2010-12-31
CL,2417,AENOR1275040057.47,4/5/12,2009-04-08,2009-12-31
CN,2151,BVQI1321275174.08,4/5/12,2010-08-21,2011-10-20
CO,3332,CRA1321020700.19,4/5/12,2010-10-09,2011-09-11
BR,467,DNV-CUK1277935439.87,4/5/12,2009-01-12,2010-05-31
BR,422,DNV-CUK1288595468.39,4/5/12,2010-01-01,2010-09-30
ID,2643,DNV-CUK1299073969.79,4/5/12,2009-12-11,2011-01-31
CN,2466,DNV-CUK1301917719.28,4/5/12,2009-10-13,2011-02-28
IN,1151,DNV-CUK1319018076.17,4/5/12,2010-01-04,2011-08-31
TH,2938,JQA1312508837.94,4/5/12,2010-02-25,2010-08-31
IN,1352,RWTUV1295602035.64,4/5/12,2008-01-11,2010-04-04
CN,2057,RWTUV1310637736.48,4/5/12,2011-12-01,2011-06-25
IN,2457,TUEV-SUED1303997860.23,4/5/12,2009-07-16,2011-03-31
PH,1258,TUEV-SUED1305110557.97,4/5/12,2010-01-10,2011-03-31
CN,3250,CEPREI_Cert1317345147.68,3/5/12,2010-09-25,2011-09-16
IN,4759,LRQA Ltd1322235372.64,3/5/12,2011-04-05,2011-10-31
VN,3457,TECO1301451953.84,3/5/12,2010-08-20,2011-02-28
CN,1276,TECO1310624085.81,3/5/12,2009-05-21,2011-03-18
CN,1470,BVQI1321265019.18,2/5/12,2009-01-11,2011-09-25
CN,1998,BVQI1322035515.09,2/5/12,2010-08-07,2011-10-27
IL,1370,DNV-CUK1269522943.72,2/5/12,2008-05-11,2010-02-28
BR,419,DNV-CUK1272610318.71,2/5/12,2009-01-10,2010-03-31
BR,420,DNV-CUK1277935039.88,2/5/12,2009-01-06,2010-05-31
KR,922,DNV-CUK1296477049.64,2/5/12,2010-01-01,2010-12-31
CN,2530,DNV-CUK1318406808.12,2/5/12,2009-10-16,2011-08-24
GT,1509,ICONTEC1302552360.19,2/5/12,2010-01-01,2010-12-31
TH,2141,RINA1255095819.41,2/5/12,2009-03-25,2009-02-08
CN,232,SGS-UKL1325850410.05,2/5/12,2011-01-10,2011-12-31
CN,1446,SGS-UKL1325867654.11,2/5/12,2011-01-01,2011-12-31
CN,193,SGS-UKL1326106714.04,2/5/12,2011-01-11,2011-12-31
CN,550,SGS-UKL1326885949.8,2/5/12,2011-01-09,2011-12-31
CN,3609,TECO1320657956.14,2/5/12,2011-01-26,2011-08-25
CN,1484,CEC1320629120.53,30/4/12,2010-01-08,2011-07-31
CN,576,SGS-UKL1320845170.45,30/4/12,2010-01-10,2011-08-31
CN,3760,BVQI1312355660.9,27/4/12,2010-10-19,2011-06-25
CN,1319,BVQI1322634171.57,27/4/12,2010-09-26,2011-10-25
CN,4159,BVQI1323817461.49,27/4/12,2011-01-09,2011-11-30
CN,3047,China Quality1310538574.33,27/4/12,2010-10-25,2011-10-07
CN,2017,China Quality1323140703.52,27/4/12,2011-04-28,2011-11-27
IN,298,DNV-CUK1243331004.94,27/4/12,2007-01-10,2008-07-31
IN,374,DNV-CUK1315401035.94,27/4/12,2009-07-23,2011-07-21
IN,2591,DNV-CUK1319204624.54,27/4/12,2010-01-01,2011-09-30
IN,528,DNV-CUK1322487380.01,27/4/12,2011-01-02,2011-09-30
ID,2421,JQA1286501832.47,27/4/12,2010-01-05,2010-07-31
CN,2213,JQA1297159962.4,27/4/12,2009-08-22,2011-10-01
IN,1009,RWTUV1311082118.59,27/4/12,2010-01-06,2011-05-31
ID,3193,RWTUV1323097625.03,27/4/12,2011-05-23,2011-10-31
CN,1450,RWTUV1323280541.95,27/4/12,2010-01-12,2011-11-30
IN,1140,SGS-UKL1252072942.16,27/4/12,2007-10-19,2009-07-31
CN,3857,SGS-UKL1314028508.77,27/4/12,2011-04-01,2011-05-31
CN,1318,SGS-UKL1320748544.43,27/4/12,2010-05-28,2011-05-27
CN,1416,SGS-UKL1322823578.77,27/4/12,2011-05-28,2011-11-26
TH,3663,SIRIM1309230009.56,27/4/12,2010-11-18,2011-05-31
TH,2232,TUEV-SUED1289912366.87,27/4/12,2009-01-10,2010-09-30
CN,2397,BVQI1322735148.01,26/4/12,2011-02-25,2011-10-25
CN,2423,BVQI1322796897.56,26/4/12,2010-01-09,2011-11-27
IN,2927,DNV-CUK1314168873.31,26/4/12,2010-03-22,2011-05-31
CN,3365,DNV-CUK1321294853.55,26/4/12,2010-11-24,2011-09-28
CN,3067,LRQA Ltd1320076886.41,26/4/12,2011-05-25,2011-10-18
CL,2417,RWTUV1294648131.28,26/4/12,2010-01-01,2010-12-31
IN,559,SGS-UKL1303301280.32,26/4/12,2009-01-01,2010-12-31
CN,1083,SGS-UKL1324567769.9,26/4/12,2011-01-11,2011-12-15
IN,499,SGS-UKL1325862970.78,26/4/12,2011-01-12,2011-12-31
CN,2705,BVQI1321624527.69,25/4/12,2011-01-06,2011-10-31
CN,2845,BVQI1323893802.45,25/4/12,2011-01-30,2011-11-28
IN,1130,DNV-CUK1321970342.73,25/4/12,2011-01-04,2011-10-31
IN,2400,RWTUV1308226232.85,25/4/12,2009-10-06,2011-03-31
CN,1915,RWTUV1315388954.62,25/4/12,2010-01-11,2011-06-30
IN,1,RWTUV1326281312.36,25/4/12,2011-01-11,2011-12-31
CN,388,SGS-UKL1320747582.12,23/4/12,2010-05-28,2011-05-27
CN,599,SGS-UKL1323870907.56,23/4/12,2010-11-25,2011-11-24
CN,1859,BVQI1275293316.31,20/4/12,2009-09-28,2010-03-27
MX,324,DNV-CUK1283846275.04,20/4/12,2009-01-06,2010-07-31
CN,3840,DNV-CUK1321959411.2,20/4/12,2010-11-12,2011-10-31
BR,116,ERM-CVS1325861468.55,20/4/12,2011-11-19,2011-12-31
CN,3524,LRQA Ltd1322819995.6,20/4/12,2011-01-09,2011-11-30
IN,2801,RWTUV1286970618.96,20/4/12,2010-02-26,2010-03-09
CN,1963,RWTUV1323336012.16,20/4/12,2010-09-29,2011-10-28
CN,4734,SGS-UKL1320944002.85,20/4/12,2011-04-28,2011-10-29
MY,386,TUEV-SUED1256804402.22,20/4/12,2009-05-02,2009-07-31
MY,385,TUEV-SUED1256805412.35,20/4/12,2009-01-13,2009-07-31
UZ,2243,TUEV-SUED1294433682.46,20/4/12,2010-12-05,2010-09-13
UZ,2243,TUEV-SUED1304602324.42,20/4/12,2010-09-14,2011-07-01
CN,1135,TUEV-SUED1317028758.19,20/4/12,2010-08-25,2011-09-24
KR,99,TUEV-SUED1325678419.76,20/4/12,2011-01-12,2011-12-31
CN,2532,CEC1322097553.69,19/4/12,2010-01-10,2011-10-31
MX,413,DNV-CUK1275649775.57,19/4/12,2009-01-06,2010-04-30
MX,425,ERM-CVS1289242299.28,19/4/12,2008-01-09,2010-09-30
CN,3786,ERM-CVS1307463982.02,19/4/12,2010-11-26,2011-05-31
MY,2657,SIRIM1270614803.27,19/4/12,2009-11-13,2011-01-31
CN,1887,TUEV-SUED1295254045.2,19/4/12,2009-11-24,2010-11-23
BR,889,DNV-CUK1321525858.06,18/4/12,2011-01-03,2011-10-31
CN,2156,BVQI1322036007.33,17/4/12,2010-01-09,2011-10-31
ID,673,DNV-CUK1294141010.07,17/4/12,2009-01-08,2010-10-31
CN,2188,DNV-CUK1314612087.45,17/4/12,2009-01-08,2011-07-31
CN,2737,TUEV-RHEIN1297661231.25,17/4/12,2010-08-04,2010-12-25
CL,1229,TUEV-SUED1320313418.56,17/4/12,2011-01-07,2011-09-30
IN,982,DNV-CUK1290173651.91,16/4/12,2007-01-12,2010-03-31
IN,1306,RWTUV1312443066.89,16/4/12,2008-11-21,2010-11-20
ID,2130,SIRIM1302156464.23,16/4/12,2010-01-03,2011-02-28
PE,1889,AENOR1296809932.19,13/4/12,2009-07-25,2010-07-24
CN,3525,Applus1315502090.32,13/4/12,2010-10-09,2011-06-30
MY,402,BVQI1285067254.01,13/4/12,2008-01-01,2010-06-30
CN,64,BVQI1298653413.74,13/4/12,2010-01-01,2010-12-31
CN,2871,BVQI1304514992.3,13/4/12,2010-02-26,2011-02-28
CN,3114,BVQI1315565786.93,13/4/12,2010-12-23,2011-08-31
CN,1742,BVQI1316207927.77,13/4/12,2010-01-08,2011-08-31
CN,2811,BVQI1322734448.63,13/4/12,2010-01-12,2011-11-30
MX,428,DNV-CUK1275649951.44,13/4/12,2009-01-06,2010-04-30
BR,2569,DNV-CUK1293110659.42,13/4/12,2000-10-11,2010-09-11
IN,2997,DNV-CUK1308327118.74,13/4/12,2010-11-10,2011-02-21
CN,491,DNV-CUK1323779891.75,13/4/12,2011-01-06,2011-11-30
IN,2347,RWTUV1303728284.69,13/4/12,2010-02-25,2011-02-28
IN,535,SGS-UKL1310145492.62,13/4/12,2010-01-12,2011-05-31
CN,11,SGS-UKL1323869656.85,13/4/12,2011-01-10,2011-11-30
CO,2183,SQS1280394910.92,13/4/12,2009-06-02,2010-11-30
CO,2183,SQS1309936560.19,13/4/12,2010-01-12,2011-06-30
CN,2309,TUEV-SUED1305097176.79,13/4/12,2010-12-05,2010-10-15
KR,99,TUEV-SUED1323865064.4,13/4/12,2011-01-11,2011-11-30
CN,1261,BVQI1319725547.45,12/4/12,2010-01-10,2011-09-30
IN,1575,LRQA Ltd1321871583.8,12/4/12,2011-01-01,2011-10-31
CN,1621,BVQI1313134911.44,11/4/12,2010-01-07,2011-06-30
CN,2877,DNV-CUK1317042558.86,11/4/12,2010-12-25,2011-09-24
IN,1236,RINA1318488265.95,11/4/12,2010-09-21,2011-09-20
IN,949,SGS-UKL1298908741.65,11/4/12,2009-01-01,2010-12-31
IN,2706,SGS-UKL1308575109.14,11/4/12,2009-05-10,2010-10-31
CN,1238,SGS-UKL1324291562.15,11/4/12,2011-01-10,2011-11-30
KR,1841,AENOR1308121534.38,10/4/12,2010-01-06,2011-05-31
CN,1859,BVQI1261036386.49,10/4/12,2009-01-14,2009-09-27
BR,1534,DNV-CUK1277936093.1,10/4/12,2008-10-04,2010-05-31
BR,1161,DNV-CUK1278686240.27,10/4/12,2008-01-02,2010-05-31
MY,2635,DNV-CUK1307087036.16,10/4/12,2010-01-08,2011-04-30
IN,3139,DNV-CUK1321621186.18,10/4/12,2010-04-23,2011-04-28
CN,3551,ERM-CVS1312991414.8,10/4/12,2010-04-09,2011-07-19
IN,2036,RWTUV1263984176.77,10/4/12,2009-02-27,2009-01-12
IN,836,RWTUV1311594372.84,10/4/12,2009-01-11,2010-09-30
IN,1492,RWTUV1311770111.97,10/4/12,2010-01-04,2011-05-31
CR,1314,RWTUV1318511802.84,10/4/12,2010-01-09,2011-09-30
CN,1496,RWTUV1319113649.16,10/4/12,2010-06-21,2011-06-20
MX,425,RWTUV1319467370.05,10/4/12,2010-01-10,2011-08-31
CO,1790,RWTUV1319650439.18,10/4/12,2011-01-02,2011-08-31
CN,1874,SGS-UKL1302078046.45,10/4/12,2009-01-12,2011-01-31
CN,2406,SGS-UKL1312545452.7,10/4/12,2010-01-07,2011-06-30
CN,1102,SGS-UKL1323795586.48,10/4/12,2011-02-21,2011-10-15
TH,2661,SIRIM1302665518.63,10/4/12,2009-01-10,2010-12-31
CN,2105,TUEV-RHEIN1317003367.04,10/4/12,2010-09-26,2011-08-25
CL,1267,TUEV-SUED1245241707.85,10/4/12,2008-01-05,2008-12-31
SV,297,AENOR1282213549.85,5/4/12,2009-01-06,2009-12-31
CN,3081,CEPREI_Cert1318382457.52,5/4/12,2010-10-14,2011-08-18
CN,1585,CEC1319097683.19,4/4/12,2010-06-21,2011-09-30
BR,419,DNV-CUK1288595637.38,4/4/12,2010-01-04,2010-09-30
CN,3045,Germanischer1308216550.32,4/4/12,2010-09-05,2011-03-31
ZA,752,RWTUV1294922757.99,4/4/12,2010-01-06,2010-11-30
AR,1482,SGS-UKL1280475752.01,4/4/12,2009-05-31,2010-05-31
CN,2769,TUEV-SUED1308045580.09,4/4/12,2010-12-08,2011-05-31
CN,3113,BVQI1319114823.76,3/4/12,2010-10-25,2011-07-20
CN,2021,RWTUV1313150007.42,3/4/12,2009-06-13,2011-12-06
CN,2815,TUEV-RHEIN1321600914.89,3/4/12,2010-01-10,2011-10-24
CN,3804,CEPREI_Cert1314261582.97,2/4/12,2011-01-04,2011-07-31
BR,337,DNV-CUK1288595046.75,2/4/12,2010-01-03,2010-08-31
CN,1124,DNV-CUK1314090404.8,2/4/12,2010-05-25,2011-05-24
CN,2805,DNV-CUK1323091751.89,2/4/12,2010-11-30,2011-10-28
IN,3854,KBS_Cert1316767281.86,2/4/12,2010-12-14,2011-07-31
CN,4609,RINA1317385254.54,2/4/12,2011-05-20,2011-08-25
IN,2173,RWTUV1304857362.59,2/4/12,2010-01-04,2011-03-31
CN,2803,TUEV-RHEIN1321518922.05,2/4/12,2010-01-10,2011-10-24
CN,2131,BVQI1308139921.51,30/3/12,2010-01-03,2011-04-30
CN,2207,CEC1319009957.55,30/3/12,2010-03-26,2011-07-25
CN,2762,China Quality1318631238.6,30/3/12,2009-07-11,2011-07-28
BR,336,DNV-CUK1269959921.59,30/3/12,2009-01-09,2010-02-28
BR,337,DNV-CUK1269960104.05,30/3/12,2009-01-09,2010-02-28
BR,336,DNV-CUK1288594618.67,30/3/12,2010-01-03,2010-08-31
TH,1552,DNV-CUK1304432424.09,30/3/12,2008-03-27,2011-03-31
IN,2679,DNV-CUK1319546513.13,30/3/12,2010-09-16,2011-09-15
IN,986,RWTUV1215682281.37,30/3/12,2007-04-28,2008-01-04
CN,1433,RWTUV1314875165.81,30/3/12,2010-11-28,2011-08-27
CN,2212,SGS-UKL1313413042.26,30/3/12,2010-07-05,2011-05-31
CN,1498,SGS-UKL1322124791.38,30/3/12,2010-10-14,2011-10-13
ID,2633,SIRIM1302157116.2,30/3/12,2010-01-03,2011-02-28
CN,4476,CEC1322739305.72,28/3/12,2011-07-06,2011-11-30
CN,3582,ERM-CVS1310633456.6,28/3/12,2010-04-11,2011-05-31
CN,1430,RWTUV1319113334.09,28/3/12,2010-06-21,2011-08-20
CN,1485,RWTUV1319113534.78,28/3/12,2010-06-21,2011-07-20
CL,258,SGS-UKL1279630306.23,28/3/12,2008-01-10,2009-12-31
CN,2705,BVQI1308658354.77,27/3/12,2011-01-04,2011-05-31
CN,2071,CEC1317018805.87,26/3/12,2010-09-21,2011-09-20
IN,367,DNV-CUK1302128999.35,26/3/12,2009-01-04,2011-02-28
IN,915,DNV-CUK1317627146.43,26/3/12,2010-04-28,2011-04-27
CN,2563,BVQI1299671835.3,23/3/12,2010-09-03,2010-12-24
CN,1859,BVQI1300346202.41,23/3/12,2010-09-28,2010-12-27
CN,1488,BVQI1312980833.42,23/3/12,2010-01-08,2011-06-30
CN,1487,BVQI1312981147.45,23/3/12,2010-01-07,2011-06-30
IN,273,BVQI1315464272.0,23/3/12,2010-06-15,2011-04-30
IN,1088,DNV-CUK1300718991.88,23/3/12,2009-01-01,2010-12-31
BR,1158,DNV-CUK1301668202.18,23/3/12,2009-01-09,2011-02-28
CN,3736,DNV-CUK1312373843.22,23/3/12,2010-11-23,2011-06-30
CN,1320,DNV-CUK1315556041.44,23/3/12,2011-01-01,2011-08-27
IN,936,DNV-CUK1315817821.32,23/3/12,2010-04-05,2011-01-05
CN,1897,DNV-CUK1319799256.01,23/3/12,2010-10-26,2011-09-25
GT,2527,ICONTEC1295018244.49,23/3/12,2009-07-18,2010-07-31
CN,4109,JCI1309752509.26,23/3/12,2011-02-02,2011-06-22
CN,3133,JQA1318642194.74,23/3/12,2010-06-15,2011-08-25
CN,2551,RWTUV1317639536.43,23/3/12,2011-06-28,2011-09-27
JM,239,SQS1275406744.96,23/3/12,2009-04-29,2010-04-28
CN,2539,TECO1308564262.57,23/3/12,2010-08-26,2011-04-25
ID,526,TUEV-SUED1186485514.44,23/3/12,2006-01-11,2007-07-31
ZM,2969,TUEV-SUED1301561592.81,23/3/12,2010-09-01,2010-12-31
CN,1817,TUEV-SUED1318423239.47,23/3/12,2010-01-10,2011-09-30
CN,1768,BVQI1319441993.65,22/3/12,2008-03-12,2011-03-29
TH,2660,DNV-CUK1290512807.43,22/3/12,2009-10-09,2010-08-30
IN,1166,DNV-CUK1318591941.47,22/3/12,2010-01-09,2011-08-31
IN,1268,RWTUV1315748136.12,22/3/12,2009-01-12,2011-08-31
CN,1745,TUEV-SUED1280912993.87,22/3/12,2009-11-30,2010-07-31
KR,1443,DNV-CUK1258107915.58,21/3/12,2009-08-01,2009-10-15
CN,2442,BVQI1274146030.71,20/3/12,2009-06-13,2010-04-22
BR,1843,DNV-CUK1317387207.43,20/3/12,2011-01-02,2011-08-31
IN,281,TUEV-SUED1317712184.33,20/3/12,2010-09-22,2011-09-21
CN,1955,CEC1317205725.1,19/3/12,2010-07-28,2011-08-27
IN,813,DNV-CUK1320998933.46,19/3/12,2008-04-20,2011-04-04
CN,873,SGS-UKL1314088188.04,19/3/12,2009-01-10,2011-07-30
IN,1495,TUEV-RHEIN1305270238.44,19/3/12,2010-01-05,2011-04-30
IN,1295,TUEV-RHEIN1306139285.31,19/3/12,2007-11-26,2009-09-30
CN,2810,TUEV-SUED1313520016.3,19/3/12,2010-01-08,2011-07-31
CN,2162,BVQI1317195504.63,16/3/12,2011-03-26,2011-07-25
CN,2972,China Quality1312533964.09,16/3/12,2010-10-26,2011-07-17
IN,750,DNV-CUK1308567651.7,16/3/12,2010-03-24,2011-03-23
CN,902,DNV-CUK1313146121.37,16/3/12,2011-01-02,2011-07-31
NG,2029,ERM-CVS1307446152.68,16/3/12,2011-01-02,2011-04-30
BR,116,ERM-CVS1322158799.56,16/3/12,2011-09-16,2011-11-18
MX,846,ICONTEC1298910695.08,16/3/12,2009-01-07,2010-12-31
CR,541,ICONTEC1307550119.15,16/3/12,2010-01-01,2010-12-31
IN,2470,LRQA Ltd1319199100.37,16/3/12,2010-06-22,2011-06-21
CN,1005,RWTUV1314078047.18,16/3/12,2010-08-30,2011-06-28
IN,1341,RWTUV1315901178.62,16/3/12,2010-01-09,2011-08-31
CN,1439,RWTUV1319113440.87,16/3/12,2010-06-21,2011-08-20
CN,2469,SGS-UKL1311344829.98,16/3/12,2010-04-25,2010-12-25
IN,838,SGS-UKL1321435268.19,16/3/12,2011-01-09,2011-10-31
IN,499,SGS-UKL1323089132.69,16/3/12,2011-01-10,2011-11-30
IN,2613,SIRIM1290393766.41,16/3/12,2009-12-09,2010-01-10
IN,1753,TUEV-RHEIN1273135188.62,16/3/12,2009-06-24,2010-02-28
CN,3519,BVQI1313672126.66,15/3/12,2010-12-24,2011-06-30
EG,490,DNV-CUK1319435372.13,15/3/12,2011-01-07,2011-09-30
IN,1667,SGS-UKL1284037788.37,15/3/12,2008-07-11,2009-12-31
SV,1218,AENOR1282214072.28,14/3/12,2009-01-06,2009-12-31
CN,2777,DNV-CUK1314089228.15,14/3/12,2009-12-28,2011-06-30
IN,826,SGS-UKL1305794568.15,14/3/12,2008-01-04,2010-05-31
IN,1203,DNV-CUK1310558478.17,13/3/12,2009-02-03,2011-01-03
CN,2875,RWTUV1309248532.63,13/3/12,2010-03-16,2011-03-29
CN,2828,China Quality1318630784.06,12/3/12,2010-09-08,2011-07-20
CN,1083,SGS-UKL1321436432.89,12/3/12,2011-01-06,2011-10-31
CN,256,BVQI1296200133.58,9/3/12,2009-12-25,2010-12-24
CN,1452,CCSC_DOE1301735934.78,9/3/12,2008-12-09,2010-12-31
CN,2171,CEC1308795490.59,9/3/12,2009-11-29,2011-03-31
IN,970,DNV-CUK1254284868.63,9/3/12,2008-03-25,2009-03-24
IN,1291,DNV-CUK1287750823.93,9/3/12,2010-03-18,2010-08-31
IN,800,DNV-CUK1309519776.75,9/3/12,2009-05-16,2011-03-21
KR,765,DNV-CUK1318577129.62,9/3/12,2011-01-07,2011-09-30
CN,4317,ERM-CVS1317133930.44,9/3/12,2011-01-24,2011-08-31
IN,253,SGS-UKL1307548766.11,9/3/12,2009-01-04,2009-09-17
CN,819,SGS-UKL1313568482.58,9/3/12,2010-01-08,2011-07-31
CN,1310,SGS-UKL1319183853.38,9/3/12,2010-01-06,2011-06-30
CN,2547,TECO1317694637.8,9/3/12,2010-08-22,2011-09-21
IN,2092,TUEV-RHEIN1290654855.02,9/3/12,2009-01-31,2010-08-23
