HostParty,CDM project reference number,Issuance process ID,Issuance date,Monitoring report started,Monitoring report ended
IN,9416,poaiss128785984~IN,17/3/23,2013-01-03,2019-09-30
IN,6401,4KEarth1640788887.99,16/3/23,2013-01-01,2020-12-31
IN,10187,Applus1537274554.9,16/3/23,2015-10-19,2018-06-30
CN,3435,Applus1659261341.38,16/3/23,2017-09-26,2020-12-31
IN,6883,BVQI1662639002.62,16/3/23,2012-01-08,2012-12-31
IN,6883,BVQI1662639002.62,16/3/23,2013-01-01,2019-07-31
CN,2918,CCCI_DOE1662691300.15,16/3/23,2017-11-28,2020-12-31
CN,7030,CTI1667189752.08,16/3/23,2018-01-01,2019-10-31
IN,10009,KBS_Cert1650951647.62,16/3/23,2015-01-01,2019-12-31
CO,10510,RWTUV1639050384.04,16/3/23,2014-06-16,2020-02-28
CN,8174,CCSC_DOE1632291714.5,9/3/23,2017-01-01,2020-04-30
CN,554,CCSC_DOE1648610125.05,9/3/23,2013-09-30,2020-09-29
CV,9570,RINA1653915848.38,7/3/23,2020-01-04,2020-12-31
IN,7444,Applus1621620492.05,6/3/23,2013-01-01,2020-12-31
CN,554,CCSC_DOE1648609942.38,3/3/23,2013-01-01,2013-09-29
IN,10013,Applus1649184529.93,2/3/23,2014-01-08,2020-12-31
IN,9918,Applus1649270685.01,2/3/23,2014-01-04,2020-12-31
IN,9586,Applus1654249113.1,2/3/23,2014-01-14,2020-12-31
CN,1032,CTI1651192996.75,2/3/23,2007-01-08,2012-12-31
CN,1032,CTI1651192996.75,2/3/23,2013-01-01,2014-06-16
CN,1032,CTI1651799881.45,2/3/23,2017-07-01,2020-12-31
CN,5295,CTI1663120390.82,2/3/23,2013-01-01,2014-04-30
BR,10059,RINA1645111055.42,2/3/23,2014-10-28,2020-12-31
AR,7178,RWTUV1652942822.16,2/3/23,2014-01-01,2017-09-24
CN,1987,CCSC_DOE1656656046.12,1/3/23,2012-07-21,2012-12-20
CN,7030,CTI1667189715.53,1/3/23,2017-01-01,2017-12-31
BR,6573,poaiss513935742~BR,24/2/23,2020-03-03,2020-12-31
UY,6287,AENOR1623664117.8,16/2/23,2014-01-01,2019-05-31
IN,2543,Applus1645034241.05,16/2/23,2017-04-25,2019-11-06
CN,2215,CCSC_DOE1656469354.45,16/2/23,2011-01-07,2012-12-31
IN,7354,Korean Standards Association1653873266.17,16/2/23,2013-01-01,2020-12-31
VN,3532,4KEarth1643368434.01,15/2/23,2018-06-05,2020-12-31
IN,7844,Applus1652793275.83,15/2/23,2013-01-01,2020-12-31
IN,7844,Applus1652793275.83,15/2/23,2012-10-23,2012-12-31
IN,4272,Applus1654858518.84,15/2/23,2011-01-02,2012-12-31
IN,4272,Applus1654858518.84,15/2/23,2013-01-01,2020-12-31
SV,297,AENOR1595937910.29,9/2/23,2018-01-01,2018-12-31
IN,10150,Applus1631524585.69,9/2/23,2016-01-01,2020-12-31
IN,8407,Applus1649235875.66,9/2/23,2013-01-01,2020-05-31
CN,4181,CTI1631259911.53,9/2/23,2016-12-25,2018-07-02
CN,5694,CTI1631260194.7,9/2/23,2016-12-25,2019-01-18
CN,4181,CTI1631761790.14,9/2/23,2018-08-02,2020-12-24
PK,10330,KBS_Cert1647315972.3,9/2/23,2017-10-27,2020-12-31
IN,6865,Applus1665135776.67,8/2/23,2013-01-01,2019-07-31
IN,6865,Applus1665135776.67,8/2/23,2012-01-08,2012-12-31
CN,3825,CCSC_DOE1649733681.73,8/2/23,2019-01-01,2020-12-20
IN,4197,Applus1650643101.16,7/2/23,2012-02-25,2012-12-31
IN,4197,Applus1650643101.16,7/2/23,2013-01-01,2020-12-31
IN,6870,BVQI1661323832.19,6/2/23,2014-01-04,2019-07-31
CN,5694,CTI1631496025.47,6/2/23,2019-01-19,2020-12-24
IN,9430,Applus1630148354.68,3/2/23,2016-01-02,2020-12-31
VN,5310,4KEarth1659696734.71,2/2/23,2018-01-03,2019-06-30
IN,2482,Applus1653906753.88,2/2/23,2018-04-29,2019-07-26
IN,6328,poaiss531316334~IN,1/2/23,2012-07-15,2020-12-31
CO,10236,ICONTEC1652905164.11,30/1/23,2020-06-15,2020-12-31
IN,5433,Applus1645786426.71,26/1/23,2013-01-01,2020-12-31
IN,5433,Applus1645786426.71,26/1/23,2012-04-10,2012-12-31
IN,5010,Applus1649271961.09,26/1/23,2013-01-01,2020-12-31
IN,5010,Applus1649271961.09,26/1/23,2011-08-16,2012-12-31
MM,7731,CCSC_DOE1657719853.53,26/1/23,2020-04-02,2020-12-31
PK,10365,CTI1646193359.56,26/1/23,2019-02-22,2020-02-21
BR,968,ESPL1619071381.62,26/1/23,2019-01-01,2020-12-31
BR,10091,RINA1645637819.34,26/1/23,2015-02-25,2020-12-31
BR,6573,poaiss154708671~BR,25/1/23,2020-03-03,2020-12-31
BR,7110,ESPL1616499690.86,23/1/23,2019-04-09,2020-02-03
KE,5341,poaiss944651905~KE,20/1/23,2020-01-04,2020-12-31
IN,2819,Applus1642424659.75,20/1/23,2018-01-05,2020-05-31
CN,6338,CCSC_DOE1652416802.63,20/1/23,2019-09-27,2019-12-31
CN,8880,Applus1646852506.7,19/1/23,2014-01-03,2020-12-31
IN,4709,Applus1649272300.33,19/1/23,2014-01-03,2020-12-31
CN,8723,CCCI_DOE1562081806.02,19/1/23,2013-12-31,2017-12-31
CN,8691,CTI1653892849.67,19/1/23,2013-12-31,2020-12-30
CN,3991,CTI1657177489.05,19/1/23,2016-07-25,2018-01-13
IN,10262,ESPL1634236113.83,19/1/23,2017-08-05,2019-02-19
CL,9741,ESPL1647964164.45,19/1/23,2018-12-06,2020-12-31
IN,2965,KBS_Cert1638247715.65,19/1/23,2013-01-01,2020-03-14
ZA,6083,RWTUV1565352572.77,19/1/23,2018-01-08,2019-05-31
MX,425,RWTUV1577707025.72,19/1/23,2012-01-02,2012-12-31
MX,425,RWTUV1577707025.72,19/1/23,2013-01-01,2016-07-14
IN,10135,Applus1631522128.42,17/1/23,2016-01-01,2020-12-31
IN,6912,Applus1644947084.74,17/1/23,2012-08-16,2012-12-31
IN,6912,Applus1644947084.74,17/1/23,2013-01-01,2018-12-31
CN,4097,CTI1653379843.61,17/1/23,2012-01-08,2012-12-31
CN,4097,CTI1653379843.61,17/1/23,2013-01-01,2019-07-31
CN,4330,CTI1632894028.58,16/1/23,2013-01-01,2018-01-26
BR,889,ESPL1652448811.91,16/1/23,2016-01-04,2017-09-03
BR,6573,poaiss620595207~BR,12/1/23,2019-05-10,2020-02-03
VN,4626,Applus1592047858.16,12/1/23,2013-01-01,2019-04-29
VN,4626,Applus1592047858.16,12/1/23,2012-04-30,2012-12-31
PE,6693,Applus1637166358.0,12/1/23,2013-01-01,2019-07-31
PE,6693,Applus1637166358.0,12/1/23,2012-01-08,2012-12-31
IN,118,Applus1654160935.46,12/1/23,2013-01-01,2015-09-12
IN,118,Applus1654160935.46,12/1/23,2012-01-04,2012-12-31
CN,3435,Applus1659261305.22,12/1/23,2013-01-01,2017-09-25
CN,5036,CTI1652056483.06,12/1/23,2019-01-01,2019-11-29
CN,6179,CTI1652056980.0,12/1/23,2019-01-01,2020-06-30
CN,7337,CTI1657502802.62,12/1/23,2016-01-07,2019-12-31
CN,7339,CTI1657503066.0,12/1/23,2016-01-07,2019-12-31
CN,7552,CTI1657503295.56,12/1/23,2016-01-07,2019-10-31
CN,4597,CTI1657621129.38,12/1/23,2016-07-25,2018-06-21
BR,1410,ESPL1644926052.75,9/1/23,2020-01-01,2020-12-31
CN,3469,CCSC_DOE1656469109.08,6/1/23,2012-01-07,2012-12-31
CN,4912,CCSC_DOE1657810726.81,6/1/23,2011-11-07,2012-12-31
CN,3060,CCSC_DOE1657887869.4,6/1/23,2012-01-08,2012-12-31
UY,6287,AENOR1623664390.36,5/1/23,2019-01-06,2020-12-31
IN,7446,Applus1571770253.41,5/1/23,2013-01-01,2019-01-07
IN,10250,Applus1634577234.84,5/1/23,2016-09-26,2020-12-31
IN,4856,Applus1645786045.0,5/1/23,2014-01-04,2020-12-31
CN,3804,CCCI_DOE1657548988.03,5/1/23,2012-01-10,2012-12-31
CN,1366,CCSC_DOE1657251548.3,5/1/23,2013-01-01,2015-03-31
CN,1366,CCSC_DOE1657724012.25,5/1/23,2016-10-05,2020-12-31
CN,2441,CCSC_DOE1657888237.42,5/1/23,2012-01-08,2012-12-31
PE,6715,ICONTEC1658408017.27,5/1/23,2016-01-01,2020-12-31
BR,6350,RINA1654098434.74,5/1/23,2013-01-01,2019-12-31
UG,10186,poaiss539165450~UG,4/1/23,2018-01-01,2020-12-31
CL,1265,AENOR1622111776.81,3/1/23,2016-01-01,2018-12-31
IN,10136,Applus1631524334.05,3/1/23,2016-01-01,2020-12-31
IN,3598,Applus1645786626.35,3/1/23,2011-01-06,2012-12-31
IN,3598,Applus1645786626.35,3/1/23,2013-01-01,2017-09-17
IN,117,Applus1654244802.21,3/1/23,2012-01-04,2012-12-31
IN,117,Applus1654244802.21,3/1/23,2013-01-01,2015-09-12
CN,2899,Applus1654247134.31,3/1/23,2013-01-01,2017-03-14
CN,2899,Applus1654247134.31,3/1/23,2012-01-12,2012-12-31
CN,5181,CEPREI_Cert1653476152.4,3/1/23,2018-10-24,2020-12-31
CN,8920,CTI1661580316.13,3/1/23,2018-01-01,2019-12-31
BR,7858,RINA1654098295.53,3/1/23,2013-01-01,2019-12-31
BR,7802,RINA1654098354.03,3/1/23,2013-01-09,2020-08-31
BR,7725,RINA1654098486.47,3/1/23,2013-01-01,2019-12-31
BR,9063,RINA1605621268.01,29/12/22,2013-07-31,2020-02-03
BR,6573,poaiss144833768~BR,27/12/22,2018-01-01,2019-04-10
UG,10312,CRA1647606356.39,27/12/22,2019-04-01,2020-12-31
BR,6534,RINA1622111170.91,27/12/22,2015-01-01,2020-12-31
RW,6207,poaiss596609418~RW,22/12/22,2020-01-07,2020-12-31
GH,5342,poaiss292415226~GH,22/12/22,2020-01-04,2020-12-31
NG,5342,poaiss528076843~NG,22/12/22,2020-01-04,2020-12-31
IN,9688,Applus1629204930.1,22/12/22,2013-01-10,2019-12-31
IN,6201,Applus1647947674.09,22/12/22,2012-05-15,2012-12-31
IN,6201,Applus1647947674.09,22/12/22,2013-01-01,2019-12-31
IN,9467,Applus1647968253.35,22/12/22,2020-01-01,2020-12-31
IN,5871,Applus1649101723.12,22/12/22,2012-09-03,2012-12-31
IN,5871,Applus1649101723.12,22/12/22,2013-01-01,2019-12-31
IN,3591,Applus1649273496.41,22/12/22,2013-01-01,2020-12-31
IN,3591,Applus1649273496.41,22/12/22,2012-01-08,2012-12-31
IN,6667,Applus1650365952.7,22/12/22,2012-01-11,2012-12-31
IN,6667,Applus1650365952.7,22/12/22,2013-01-01,2020-12-31
IN,6720,Applus1651315856.34,22/12/22,2013-01-01,2020-12-31
IN,6720,Applus1651315856.34,22/12/22,2012-10-15,2012-12-31
IN,1549,BVQI1650456832.28,22/12/22,2016-07-27,2018-08-10
CN,4320,CCCI_DOE1658110679.73,22/12/22,2018-01-20,2020-12-31
CN,6205,CCCI_DOE1658633988.95,22/12/22,2012-01-07,2012-12-31
CN,8682,CTI1653577183.61,22/12/22,2013-01-01,2019-12-31
IN,2265,ESPL1631095093.78,22/12/22,2018-01-02,2019-03-21
BR,7196,KBS_Cert1652005795.46,22/12/22,2013-12-31,2020-12-30
IN,9244,Applus1614794348.18,19/12/22,2014-01-31,2020-12-31
IN,1514,Applus1635279755.99,19/12/22,2013-01-06,2020-09-17
KE,9960,AENOR1646752598.6,15/12/22,2018-01-10,2020-12-31
KE,7783,AENOR1646752771.77,15/12/22,2018-01-10,2020-12-31
KE,5023,AENOR1646752799.22,15/12/22,2018-01-10,2020-12-31
CN,5661,CCCI_DOE1658508609.34,15/12/22,2012-01-05,2012-12-31
CN,5681,CCCI_DOE1658508974.42,15/12/22,2012-01-04,2012-12-31
CN,5895,CCCI_DOE1658632274.87,15/12/22,2012-01-05,2012-12-31
IN,8324,BVQI1644410049.37,14/12/22,2013-01-12,2019-11-22
CN,6338,CCSC_DOE1652416605.62,14/12/22,2015-08-25,2019-09-26
IN,9544,Applus1650285384.71,9/12/22,2014-01-31,2020-12-31
VN,5556,4KEarth1646130258.5,8/12/22,2020-06-01,2020-12-31
IN,6610,Applus1487584585.24,8/12/22,2014-09-12,2016-12-31
UY,9095,Applus1617822856.47,8/12/22,2014-01-05,2020-08-31
IN,3926,Applus1631526780.68,8/12/22,2013-01-01,2020-12-31
IN,4209,Applus1644520745.77,8/12/22,2013-01-01,2017-12-15
IN,4209,Applus1644520745.77,8/12/22,2011-12-21,2012-12-31
BR,968,ESPL1619071262.54,8/12/22,2017-01-01,2018-12-31
CM,2992,RINA1624007418.2,8/12/22,2018-02-23,2020-12-31
CN,5652,Applus1655979651.05,7/12/22,2013-01-04,2020-12-31
MG,10443,poaiss117175179~MG,6/12/22,2020-01-06,2020-12-31
BI,10474,poaiss451424024~BI,6/12/22,2020-01-05,2020-12-31
IN,10319,Applus1637070522.55,1/12/22,2016-12-27,2020-12-31
CN,6732,Applus1652436711.09,1/12/22,2016-01-01,2020-12-31
