CDM project reference number,HostParty,Issuance process ID,Issuance date,Status,Total,Vintage Year
1284,CN,SGS-UKL1262963567.7,6/5/10,Held," 204,675 ",2009
2439,CN,BVQI1257850439.74,5/5/10,Held," 129,177 ",2009
613,IN,DNV-CUK1257936698.7,5/5/10,Held," 9,753 ",2008
2028,CL,Germanischer1255507494.48,5/5/10,Held," 23,168 ",2009
1388,CN,JQA1257843826.04,5/5/10,Held," 38,340 ",2008
127,IN,SGS-UKL1249383135.64,5/5/10,Held," 71,966 ",2008
767,CN,SGS-UKL1250160962.39,5/5/10,Held," 496,456 ",2009
2109,CN,BVQI1255502816.09,29/4/10,Held," 35,692 ",2009
2027,CN,BVQI1255933916.63,29/4/10,Held," 90,454 ",2008
1311,CN,BVQI1257837523.2,29/4/10,Held," 168,881 ",2008
1432,CN,RWTUV1259139977.35,29/4/10,Held," 47,349 ",2009
1105,CN,SGS-UKL1260290214.53,29/4/10,Held," 1,496,428 ",2009
1560,CN,CEC1259930709.57,28/4/10,Held," 29,076 ",2008
1997,CN,China Quality1259117042.58,28/4/10,Held," 25,626 ",2009
1368,CN,ERM-CVS1256325970.9,28/4/10,Held," 154,953 ",2008
2153,CN,SGS-UKL1249465260.38,28/4/10,Held," 86,884 ",2009
1431,CN,TUEV-SUED1231923312.87,28/4/10,Held," 64,949 ",2008
1533,CN,TUEV-SUED1242295399.98,28/4/10,Held," 23,346 ",2008
1428,CO,ICONTEC1245206576.63,27/4/10,Held," 111,847 ",2008
1487,CN,BVQI1248343893.2,26/4/10,Held," 139,482 ",2008
1515,CN,CEC1257604948.39,23/4/10,Held," 21,373 ",2008
391,IN,DNV-CUK1247816844.73,23/4/10,Held," 56,997 ",2007
1352,IN,RWTUV1244727856.32,23/4/10,Held," 49,504 ",2008
11,CN,SGS-UKL1252310316.06,23/4/10,Held," 2,532,753 ",2009
1785,CN,TUEV-SUED1251882637.78,23/4/10,Held," 28,480 ",2008
30,MA,AENOR1206361132.79,22/4/10,Held," 49,751 ",2007
1627,CN,BVQI1235148650.63,22/4/10,Held," 145,923 ",2008
1455,CN,DNV-CUK1215157397.33,22/4/10,Held," 47,379 ",2008
936,IN,DNV-CUK1247460406.2,22/4/10,Held," 16,378 ",2008
1900,CN,LRQA Ltd1258018670.93,22/4/10,Held," 54,296 ",2009
1629,CN,SGS-UKL1245056029.57,22/4/10,Held," 82,111 ",2008
1483,HN,TUEV-SUED1237199202.69,22/4/10,Held," 33,331 ",2008
463,MX,DNV-CUK1193033295.03,20/4/10,Held," 2,807 ",2007
1955,CN,DNV-CUK1256985239.47,15/4/10,Held," 84,295 ",2009
