PA/PoA,CDM project reference number,HostParty,DOE,Project type (UNEP DTU),Project subtype (UNEP DTU),Issuance process ID,Issuance date,Monitoring report started,Monitoring report ended, Units - Total ,CP,Monitoring report number,Last_updated
PoA,8438,GH,Carbon Check,EE households,Stoves,poaiss274024577~GH,20/4/23,1/7/20,31/12/20," 38,334 ",2,8,21Jun2023
PA,1047,IN,KEarth,Wind,Wind,4KEarth1648863914.34,20/4/23,1/1/13,29/1/17," 66,817 ",2,3,21Jun2023
PA,1047,IN,KEarth,Wind,Wind,4KEarth1648863914.34,20/4/23,29/10/12,31/12/12," 3,250 ",1,3,21Jun2023
PA,9410,IN,KEarth,Wind,Wind,4KEarth1649656567.54,20/4/23,1/1/13,30/12/19," 44,315 ",2,1,21Jun2023
PA,6896,IN,LGAI,Wind,Wind,Applus1649101054.62,20/4/23,1/1/13,31/12/19," 117,958 ",2,1,21Jun2023
PA,6896,IN,LGAI,Wind,Wind,Applus1649101054.62,20/4/23,31/10/12,31/12/12, 314 ,1,1,21Jun2023
PA,8337,CL,LGAI,Hydro,Run of river,Applus1651917532.1,20/4/23,1/1/13,31/12/19," 97,571 ",2,1,21Jun2023
PA,1906,CN,CTI,Landfill gas,Landfill power,CTI1548732930.56,20/4/23,1/1/18,24/12/18," 152,134 ",2,7,21Jun2023
PA,3854,IN,Earthood,Wind,Wind,ESPL1663331694.6,20/4/23,1/3/17,13/12/20," 61,195 ",2,5,21Jun2023
PA,122,CO,ICONTEC,Hydro,Run of river,ICONTEC1667578124.18,20/4/23,1/1/18,31/12/19," 19,068 ",2,7,21Jun2023
PA,10236,CO,ICONTEC,Hydro,New dam,ICONTEC1652905018.84,19/4/23,15/6/19,14/6/20," 1,181,978 ",2,4,21Jun2023
PA,7853,CN,CTI,Landfill gas,Combustion of MSW,CTI1661771579.07,17/4/23,1/1/16,31/12/17," 190,996 ",2,1,21Jun2023
PA,5828,CN,CTI,Landfill gas,Combustion of MSW,CTI1661773642.6,17/4/23,1/1/16,31/12/17," 224,181 ",2,1,21Jun2023
PA,5828,CN,CTI,Landfill gas,Combustion of MSW,CTI1661773691.53,17/4/23,1/1/18,31/12/20," 435,111 ",2,2,21Jun2023
PoA,10512,BD,TUV SUD,EE households,Stoves,poaiss804179934~BD,13/4/23,1/9/20,31/12/20," 281,183 ",2,2,21Jun2023
PoA,8261,IN,LGAI,Hybrid renewables,Solar & wind,poaiss779165361~IN,13/4/23,31/3/13,30/3/20," 284,279 ",2,1,21Jun2023
PA,10098,IN,LGAI,Wind,Wind,Applus1642423596.42,13/4/23,15/1/15,31/12/20," 50,466 ",2,1,21Jun2023
PA,9508,IN,LGAI,Wind,Wind,Applus1642423615.5,13/4/23,31/12/12,31/12/12, 7 ,1,1,21Jun2023
PA,9508,IN,LGAI,Wind,Wind,Applus1642423615.5,13/4/23,1/1/13,30/12/19," 35,157 ",2,1,21Jun2023
PA,6621,IN,Earthood,Wind,Wind,ESPL1663071750.26,13/4/23,16/12/13,31/12/17," 42,403 ",2,1,21Jun2023
PA,4449,CL,KBS,Wind,Wind,KBS_Cert1660212975.89,13/4/23,1/1/13,11/5/18," 327,657 ",2,2,21Jun2023
PA,4449,CL,KBS,Wind,Wind,KBS_Cert1660213116.31,13/4/23,12/5/18,31/12/18," 36,927 ",2,3,21Jun2023
PA,5726,CL,KBS,Hydro,Run of river,KBS_Cert1660024752.42,11/4/23,1/10/13,31/12/17," 189,448 ",2,1,21Jun2023
PA,3797,CN,LGAI,Biomass Energy,Agricultural residues: other kinds,Applus1654080342.92,6/4/23,1/1/13,4/12/17," 707,684 ",2,1,21Jun2023
PA,3797,CN,LGAI,Biomass Energy,Agricultural residues: other kinds,Applus1654080342.92,6/4/23,5/12/10,31/12/12," 280,165 ",1,1,21Jun2023
PA,751,LK,KBS,Hydro,Run of river,KBS_Cert1634899937.15,6/4/23,1/9/09,31/12/10," 9,633 ",1,3,21Jun2023
PA,8371,IN,KBS,EE Industry,Building materials,KBS_Cert1652005226.46,6/4/23,30/6/14,31/8/20," 109,181 ",2,1,21Jun2023
PA,3246,KR,KSA,Solar,Solar PV,Korean Standards Association1668439116.43,6/4/23,1/1/13,23/6/20," 157,404 ",2,2,21Jun2023
PA,7357,MX,KBS,Wind,Wind,KBS_Cert1661158643.5,4/4/23,22/2/14,31/12/18," 489,043 ",2,1,21Jun2023
PoA,9247,KR,KFQ,Solar,Solar PV,poaiss907403542~KR,30/3/23,1/1/19,31/12/20," 1,910 ",2,2,21Jun2023
PA,3532,VN,KEarth,Hydro,New dam,4KEarth1643367938.24,30/3/23,1/4/16,5/5/18," 53,435 ",2,4,21Jun2023
