PA/PoA,CDM project reference number,HostParty,DOE,Project type (UNEP DTU),Project subtype (UNEP DTU),Issuance process ID,Issuance date,Monitoring report started,Monitoring report ended, Units - Total ,CP,Monitoring report number,Last_updated
PA,4537,VN,TSUS,Hydro,New dam,TECO1374069687.36,6/3/14,1/1/13,31/5/13," 49,582 ",2,2,21Jun2023
PA,5574,AZ,GLC,EE supply side,Higher efficiency oil power,Germanischer1374567021.62,5/3/14,24/8/12,31/12/12," 53,070 ",1,1,21Jun2023
PA,4114,CN,JACO,Methane avoidance,Waste water,JACO1376993554.98,4/3/14,1/6/12,31/12/12," 42,795 ",1,2,21Jun2023
PA,3826,TH,DNV,Biomass Energy,Agricultural residues: rice husk,DNV-CUK1360325760.55,3/3/14,16/3/12,31/12/12," 17,565 ",1,1,21Jun2023
PA,2554,CO,ICONTEC,Landfill gas,Landfill flaring,ICONTEC1376065587.84,28/2/14,1/7/12,31/12/12," 336,077 ",1,7,21Jun2023
PA,2554,CO,ICONTEC,Landfill gas,Landfill flaring,ICONTEC1376065587.84,28/2/14,1/1/13,30/6/13," 397,105 ",2,7,21Jun2023
PA,370,IN,SGS,Biomass Energy,Bagasse power,SGS-UKL1350289426.33,28/2/14,1/1/10,24/6/12," 72,759 ",1,5,21Jun2023
PA,4725,CN,TUV NORD,EE own generation,Coke oven gas,TUEV-RHEIN1377671135.62,28/2/14,1/1/13,31/7/13," 151,233 ",2,1,21Jun2023
PA,4725,CN,TUV NORD,EE own generation,Coke oven gas,TUEV-RHEIN1377671135.62,28/2/14,7/7/11,31/12/12," 359,694 ",1,1,21Jun2023
PA,2183,CO,TUV SUD,Landfill gas,Landfill flaring,TUEV-SUED1376282877.94,28/2/14,1/1/13,31/7/13," 122,879 ",2,5,21Jun2023
PA,2183,CO,TUV SUD,Landfill gas,Landfill flaring,TUEV-SUED1376282877.94,28/2/14,1/7/12,31/12/12," 133,770 ",1,5,21Jun2023
PA,4970,VN,TSUS,Hydro,New dam,TECO1374070005.15,27/2/14,17/1/12,31/12/12," 351,195 ",1,1,21Jun2023
PA,4970,VN,TSUS,Hydro,New dam,TECO1374070005.15,27/2/14,1/1/13,31/5/13," 103,536 ",2,1,21Jun2023
PA,7788,TH,DNV,Methane avoidance,Waste water,DNV-CUK1368689301.34,25/2/14,1/12/12,31/12/12," 4,927 ",1,1,21Jun2023
PA,7788,TH,DNV,Methane avoidance,Waste water,DNV-CUK1368689301.34,25/2/14,1/1/13,31/3/13," 20,653 ",2,1,21Jun2023
PA,2347,IN,TUV NORD,Wind,Wind,RWTUV1378356093.57,25/2/14,1/4/12,31/12/12," 227,039 ",1,5,21Jun2023
PA,2347,IN,TUV NORD,Wind,Wind,RWTUV1378356093.57,25/2/14,1/1/13,30/6/13," 106,266 ",2,5,21Jun2023
PA,3766,IN,DNV,EE households,Lighting,DNV-CUK1330329026.2,24/2/14,10/11/10,9/11/11," 24,931 ",1,1,21Jun2023
PA,3222,BR,DNV,Methane avoidance,Manure,DNV-CUK1372334211.24,24/2/14,1/11/11,31/12/12," 45,102 ",1,2,21Jun2023
PA,1958,CL,TUV NORD,Wind,Wind,RWTUV1359454736.54,24/2/14,3/4/09,31/12/11," 44,919 ",1,1,21Jun2023
PA,5125,BD,DNV,EE Industry,Building materials,DNV-CUK1359970676.02,21/2/14,1/9/11,31/8/12," 17,403 ",1,1,21Jun2023
PA,169,BD,DNV,Landfill gas,Landfill composting,DNV-CUK1370596879.21,21/2/14,1/8/10,31/12/12," 22,783 ",1,2,21Jun2023
PA,1123,MX,ICONTEC,Landfill gas,Landfill power,ICONTEC1356639960.96,21/2/14,1/8/10,15/12/12," 148,211 ",1,3,21Jun2023
PA,1896,CN,TUV NORD,Coal bed/mine methane,Coal Mine Methane,RWTUV1362980807.75,21/2/14,1/10/12,31/12/12," 797,102 ",1,9,21Jun2023
PA,736,IN,TUV NORD,Biomass Energy,Agricultural residues: other kinds,RWTUV1373609970.5,21/2/14,29/12/11,31/12/12," 22,671 ",1,6,21Jun2023
PA,3533,IN,TUV NORD,Wind,Wind,TUEV-RHEIN1365756497.87,21/2/14,1/9/11,31/12/12," 6,104 ",1,2,21Jun2023
PA,5486,IN,TUV NORD,Wind,Wind,RWTUV1370607882.11,20/2/14,12/1/12,31/12/12," 17,615 ",1,1,21Jun2023
PA,3064,CN,CEC,Biomass Energy,Agricultural residues: rice husk,CEC1342410886.98,19/2/14,15/1/11,31/12/11," 124,748 ",1,1,21Jun2023
PA,3730,CN,JACO,Hydro,Run of river,JACO1349517968.15,19/2/14,8/9/11,25/9/12," 30,702 ",1,1,21Jun2023
PA,707,IN,DNV,EE Industry,Building materials,DNV-CUK1320151540.99,18/2/14,1/4/07,31/3/11," 44,175 ",1,2,21Jun2023
PA,1877,HN,TUV NORD,Biomass Energy,Palm oil solid waste,RWTUV1367302821.67,17/2/14,25/3/09,31/12/12," 10,125 ",1,1,21Jun2023
PA,3887,BR,DNV,Reforestation,Reforestation,DNV-CUK1332150719.57,14/2/14,15/12/00,14/2/12," 166,673 ",1,1,21Jun2023
PA,4480,ID,DNV,Methane avoidance,Palm oil waste,DNV-CUK1359377700.58,14/2/14,1/4/12,31/12/12," 27,559 ",1,2,21Jun2023
PA,1921,ZA,DNV,Landfill gas,Landfill power,DNV-CUK1361535180.04,14/2/14,1/9/09,31/12/12," 749,633 ",1,2,21Jun2023
PA,2472,CN,ERM CVS,Wind,Wind,ERM-CVS1361236266.92,14/2/14,15/10/10,31/12/12," 45,209 ",1,1,21Jun2023
PA,814,IN,KBS,EE Industry,Petrochemicals,KBS_Cert1376392111.81,14/2/14,1/7/12,31/12/12," 2,698 ",1,4,21Jun2023
PA,814,IN,KBS,EE Industry,Petrochemicals,KBS_Cert1376392111.81,14/2/14,1/1/13,30/6/13," 1,921 ",2,4,21Jun2023
PA,194,CO,LRQA,Wind,Wind,LRQA Ltd1365168652.82,14/2/14,31/1/11,31/12/12," 40,916 ",1,5,21Jun2023
PA,2185,MY,TUV NORD,Methane avoidance,Waste water,RWTUV1349854401.1,14/2/14,1/10/10,30/6/11," 37,108 ",1,3,21Jun2023
PA,3670,CN,SGS,Wind,Wind,SGS-UKL1379674155.64,14/2/14,29/9/12,31/12/12," 130,186 ",1,3,21Jun2023
PA,807,AR,TUV SUD,HFCs,HFC23,TUEV-SUED1382592732.58,14/2/14,1/1/13,14/10/13," 455,559 ",2,20,21Jun2023
PA,1430,CN,URS,Hydro,Run of river,URSCert1364300743.04,14/2/14,21/8/11,31/12/12," 29,999 ",1,4,21Jun2023
PA,1430,CN,URS,Hydro,Run of river,URSCert1364300743.04,14/2/14,1/1/13,15/1/13, 119 ,2,4,21Jun2023
PA,386,MY,KBS,Biomass Energy,Palm oil solid waste,KBS_Cert1360212703.98,11/2/14,1/8/12,31/12/12," 166,377 ",1,5,21Jun2023
PA,2141,TH,GLC,Methane avoidance,Waste water,Germanischer1377863401.51,7/2/14,1/1/13,20/8/13," 46,136 ",2,4,21Jun2023
PA,2867,IN,KBS,Landfill gas,Landfill composting,KBS_Cert1367229856.35,7/2/14,1/1/12,31/12/12," 31,776 ",1,3,21Jun2023
PA,2856,IN,KBS,Wind,Wind,KBS_Cert1376458487.87,7/2/14,1/7/12,31/12/12," 42,683 ",1,3,21Jun2023
PA,2856,IN,KBS,Wind,Wind,KBS_Cert1376458487.87,7/2/14,1/1/13,30/6/13," 35,118 ",2,3,21Jun2023
PA,2941,IN,TUV NORD,Biomass Energy,Agricultural residues: other kinds,RWTUV1373530298.02,7/2/14,28/3/11,31/12/12," 70,297 ",1,3,21Jun2023
PA,1071,IN,SGS,Wind,Wind,SGS-UKL1297762202.13,7/2/14,22/7/07,31/3/10," 30,942 ",1,2,21Jun2023
PA,3017,UG,SGS,Hydro,Run of river,SGS-UKL1366038000.22,7/2/14,1/1/12,31/12/12," 48,240 ",1,2,21Jun2023
PA,5123,IN,SGS,Wind,Wind,SGS-UKL1372236802.52,7/2/14,22/8/11,31/12/12," 31,418 ",1,1,21Jun2023
PA,5123,IN,SGS,Wind,Wind,SGS-UKL1372236802.52,7/2/14,1/1/13,23/4/13," 1,114 ",2,1,21Jun2023
PA,867,MY,SIRIM,Methane avoidance,Waste water,SIRIM1364780877.73,7/2/14,1/1/11,31/12/12," 112,220 ",1,2,21Jun2023
PoA,5067,NG,GLC,EE households,Stoves,poaiss571744464,5/2/14,10/11/11,30/6/12," 2,376 ",1,1,21Jun2023
PA,2556,TH,GLC,Methane avoidance,Waste water,Germanischer1377671552.56,5/2/14,1/1/11,31/12/12," 76,183 ",1,2,21Jun2023
PA,2556,TH,GLC,Methane avoidance,Waste water,Germanischer1377671552.56,5/2/14,1/1/13,31/7/13," 29,234 ",2,2,21Jun2023
PA,1573,IN,TUV NORD,Wind,Wind,RWTUV1322138389.84,5/2/14,19/4/08,19/3/11," 59,599 ",1,1,21Jun2023
PA,5700,IN,SGS,Wind,Wind,SGS-UKL1374833298.34,31/1/14,15/2/12,31/12/12," 24,549 ",1,1,21Jun2023
PA,5700,IN,SGS,Wind,Wind,SGS-UKL1374833298.34,31/1/14,1/1/13,31/3/13," 3,371 ",2,1,21Jun2023
PA,107,MX,TUV NORD,Wind,Wind,TUEV-RHEIN1334209919.78,31/1/14,31/12/08,31/8/11," 51,151 ",1,1,21Jun2023
PA,4778,CN,CQC,Wind,Wind,China Quality1372207154.69,28/1/14,1/6/11,31/12/12," 157,276 ",1,1,21Jun2023
PA,5290,VN,TSUS,Methane avoidance,Waste water,TECO1374460325.58,24/1/14,1/11/11,31/12/12," 15,587 ",1,1,21Jun2023
PA,5290,VN,TSUS,Methane avoidance,Waste water,TECO1374460325.58,24/1/14,1/1/13,31/5/13," 8,702 ",2,1,21Jun2023
PA,799,CL,TUV NORD,Landfill gas,Landfill flaring,TUEV-RHEIN1343903768.99,24/1/14,1/10/11,30/6/12," 234,930 ",1,9,21Jun2023
PA,1366,CN,BVCH,Biomass Energy,Agricultural residues: other kinds,BVQI1295858083.34,22/1/14,1/4/08,31/8/10," 357,824 ",1,1,21Jun2023
PA,2311,CN,TUV NORD,Solar,Solar cooking,TUEV-RHEIN1378112750.79,22/1/14,1/9/12,31/12/12," 11,671 ",1,5,21Jun2023
PA,2311,CN,TUV NORD,Solar,Solar cooking,TUEV-RHEIN1378112750.79,22/1/14,1/1/13,31/8/13," 26,573 ",2,5,21Jun2023
PA,2072,CN,CQC,Wind,Wind,China Quality1372207030.25,20/1/14,1/5/11,31/12/12," 132,511 ",1,4,21Jun2023
PA,3127,MX,DNV,Landfill gas,Landfill flaring,DNV-CUK1368201304.88,20/1/14,1/7/11,31/7/12," 18,593 ",1,2,21Jun2023
PA,3306,CN,GLC,Wind,Wind,Germanischer1374131370.55,20/1/14,30/8/12,31/12/12," 102,591 ",1,4,21Jun2023
PA,259,CL,SGS,Biomass Energy,Forest residues: sawmill waste,SGS-UKL1314870591.36,20/1/14,2/9/10,31/12/10," 45,524 ",1,6,21Jun2023
PA,2307,CN,TUV NORD,Solar,Solar cooking,TUEV-RHEIN1378111343.72,20/1/14,1/9/12,31/12/12," 11,491 ",1,6,21Jun2023
PA,2307,CN,TUV NORD,Solar,Solar cooking,TUEV-RHEIN1378111343.72,20/1/14,1/1/13,31/8/13," 26,400 ",2,6,21Jun2023
PA,708,PE,TUV SUD,Landfill gas,Landfill power,TUEV-SUED1268048787.86,17/1/14,5/3/09,31/12/09," 137,212 ",1,3,21Jun2023
PA,3061,CN,CTI,Biomass Energy,Agricultural residues: rice husk,CTI1379318622.06,16/1/14,1/7/11,31/12/12," 122,745 ",1,2,21Jun2023
PA,2772,LK,DNV,Biomass Energy,Agricultural residues: rice husk,DNV-CUK1362043244.66,16/1/14,1/5/12,31/12/12," 21,929 ",1,3,21Jun2023
PA,926,IN,SGS,Biomass Energy,Agricultural residues: rice husk,SGS-UKL1271154518.96,16/1/14,15/4/07,31/3/09," 46,960 ",1,1,21Jun2023
PA,550,CN,SGS,HFCs,HFC23,SGS-UKL1379664878.89,16/1/14,10/5/13,31/8/13," 2,391,578 ",2,24,21Jun2023
PA,571,IN,BVCH,Wind,Wind,BVQI1370858186.34,10/1/14,1/12/06,31/12/10," 43,420 ",1,1,21Jun2023
PA,4534,CN,CEC,Coal bed/mine methane,Coal Mine Methane,CEC1369038836.19,10/1/14,1/5/11,31/12/12," 56,657 ",1,1,21Jun2023
PA,4534,CN,CEC,Coal bed/mine methane,Coal Mine Methane,CEC1369038836.19,10/1/14,1/1/13,25/3/13," 22,286 ",2,1,21Jun2023
PA,2766,CN,CTI,Wind,Wind,CTI1378794689.8,10/1/14,1/3/12,31/12/12," 66,268 ",1,2,21Jun2023
PA,5238,CN,CQC,Landfill gas,Landfill power,China Quality1372060134.14,10/1/14,7/10/11,31/12/12," 43,253 ",1,1,21Jun2023
PA,5238,CN,CQC,Landfill gas,Landfill power,China Quality1372060134.14,10/1/14,1/1/13,31/3/13," 9,054 ",2,1,21Jun2023
PA,2227,CN,CQC,Wind,Wind,China Quality1372207380.13,10/1/14,1/12/10,31/12/12," 201,297 ",1,1,21Jun2023
PA,141,EC,TUV NORD,Hydro,Run of river,RWTUV1363899379.65,10/1/14,1/1/13,3/2/13," 18,762 ",2,6,21Jun2023
PA,141,EC,TUV NORD,Hydro,Run of river,RWTUV1363899379.65,10/1/14,1/3/11,31/12/12," 361,911 ",1,6,21Jun2023
PA,1052,CL,AENOR,Hydro,Run of river,AENOR1324651791.21,9/1/14,2/5/07,30/6/09," 185,620 ",1,2,21Jun2023
PA,2038,CN,CQC,Wind,Wind,China Quality1372206881.5,9/1/14,1/5/11,31/12/12," 173,821 ",1,4,21Jun2023
PA,5965,CN,GLC,Hydro,Run of river,Germanischer1361347196.38,9/1/14,12/4/12,31/12/12," 141,077 ",1,1,21Jun2023
PA,4963,CN,TUV NORD,Wind,Wind,RWTUV1378927437.65,9/1/14,30/5/12,31/12/12," 191,800 ",1,2,21Jun2023
PA,4963,CN,TUV NORD,Wind,Wind,RWTUV1378927437.65,9/1/14,1/1/13,29/7/13," 173,753 ",2,2,21Jun2023
PA,5514,CN,CTI,Biomass Energy,Agricultural residues: other kinds,CTI1372301265.21,6/1/14,14/3/12,31/12/12," 99,123 ",1,1,21Jun2023
PA,5514,CN,CTI,Biomass Energy,Agricultural residues: other kinds,CTI1372301265.21,6/1/14,1/1/13,20/3/13," 22,502 ",2,1,21Jun2023
PA,2348,IN,Carbon Check,Biomass Energy,Agricultural residues: poultry litter,CarbonCheck_Cert1374822120.12,6/1/14,25/1/10,31/12/12," 124,088 ",1,2,21Jun2023
PA,2318,BR,DNV,Methane avoidance,Manure,DNV-CUK1369656828.68,6/1/14,1/11/11,31/12/12," 43,477 ",1,5,21Jun2023
PA,2483,CN,LRQA,Wind,Wind,LRQA Ltd1360062563.64,6/1/14,1/2/12,31/12/12," 111,716 ",1,3,21Jun2023
PA,2483,CN,LRQA,Wind,Wind,LRQA Ltd1360062563.64,6/1/14,1/1/13,20/1/13," 6,652 ",2,3,21Jun2023
PA,2509,ID,TUV NORD,Landfill gas,Landfill flaring,TUEV-RHEIN1360638793.49,6/1/14,16/10/12,31/12/12," 14,750 ",1,3,21Jun2023
PoA,2898,CN,GLC,Methane avoidance,Domestic manure,poaiss331258278,3/1/14,10/5/12,5/6/13," 78,422 ",2,1,21Jun2023
PoA,2898,CN,GLC,Methane avoidance,Domestic manure,poaiss331258278,3/1/14,10/5/12,5/6/13," 1,411 ",1,1,21Jun2023
PA,4240,CN,BVCH,Wind,Wind,BVQI1378277358.22,3/1/14,1/6/12,31/12/12," 42,454 ",1,3,21Jun2023
PA,4240,CN,BVCH,Wind,Wind,BVQI1378277358.22,3/1/14,1/1/13,31/7/13," 40,165 ",2,3,21Jun2023
PA,2766,CN,CTI,Wind,Wind,CTI1378793720.37,3/1/14,3/3/10,29/2/12," 178,586 ",1,1,21Jun2023
PA,4449,CL,DNV,Wind,Wind,DNV-CUK1360325074.15,3/1/14,12/5/11,31/12/12," 125,061 ",1,1,21Jun2023
PA,5494,BR,DNV,Methane avoidance,Manure,DNV-CUK1364217230.0,3/1/14,12/6/12,31/12/12," 22,826 ",1,1,21Jun2023
PA,886,CN,GLC,Hydro,Run of river,Germanischer1365074510.16,3/1/14,30/3/11,29/12/12," 157,461 ",1,6,21Jun2023
PA,2228,VN,PJRCES,Wind,Wind,PJR CDM1377267170.66,3/1/14,1/4/10,31/12/12," 77,820 ",1,2,21Jun2023
PA,2228,VN,PJRCES,Wind,Wind,PJR CDM1377267170.66,3/1/14,1/1/13,30/6/13," 14,715 ",2,2,21Jun2023
PA,1525,IN,TUV NORD,EE Industry,Petrochemicals,RWTUV1298977511.29,3/1/14,4/12/08,31/12/10," 4,871 ",1,1,21Jun2023
PA,1352,IN,TUV NORD,Fossil fuel switch,New natural gas plant using LNG,RWTUV1332326694.37,3/1/14,5/4/10,31/3/11," 284,662 ",1,4,21Jun2023
PA,5415,NP,TUV NORD,Methane avoidance,Domestic manure,RWTUV1358512249.03,3/1/14,13/12/11,31/7/12," 36,261 ",1,1,21Jun2023
PA,2469,CN,SGS,EE own generation,Iron & steel heat,SGS-UKL1369389362.45,3/1/14,26/12/10,25/12/12," 254,947 ",1,3,21Jun2023
PA,191,NI,TUV NORD,Biomass Energy,Bagasse power,TUEV-RHEIN1342060889.76,3/1/14,1/7/10,29/5/11," 72,236 ",1,6,21Jun2023
PA,3520,CN,TUV NORD,Solar,Solar water heating,TUEV-RHEIN1378113659.87,3/1/14,1/9/12,31/12/12," 10,670 ",1,2,21Jun2023
PA,3520,CN,TUV NORD,Solar,Solar water heating,TUEV-RHEIN1378113659.87,3/1/14,1/1/13,31/8/13," 24,408 ",2,2,21Jun2023
PA,151,MX,TUV NORD,HFCs,HFC23,TUEV-RHEIN1371654256.05,2/1/14,1/8/12,31/12/12," 736,509 ",1,32,21Jun2023
PA,3068,CN,CTI,Biomass Energy,Agricultural residues: rice husk,CTI1379318340.03,31/12/13,1/1/12,31/12/12," 101,600 ",1,2,21Jun2023
PA,96,CL,SGS,Landfill gas,Landfill flaring,SGS-UKL1215168747.52,31/12/13,1/8/07,29/6/08," 26,157 ",1,2,21Jun2023
PA,3164,CN,LGAI,Hydro,New dam,Applus1353925053.55,30/12/13,1/8/11,31/12/12," 318,960 ",1,2,21Jun2023
PA,3164,CN,LGAI,Hydro,New dam,Applus1353925053.55,30/12/13,1/1/13,31/8/13," 160,218 ",2,2,21Jun2023
PA,3499,CN,CEC,Coal bed/mine methane,Coal Mine Methane,CEC1359470700.55,30/12/13,10/6/11,31/12/12," 779,334 ",1,1,21Jun2023
PA,3044,CN,CTI,Biomass Energy,Agricultural residues: rice husk,CTI1377594270.73,30/12/13,1/4/11,31/12/12," 153,235 ",1,2,21Jun2023
PA,5678,IN,DNV,Wind,Wind,DNV-CUK1368538014.12,30/12/13,1/1/13,10/1/13, 6 ,2,1,21Jun2023
PA,5678,IN,DNV,Wind,Wind,DNV-CUK1368538014.12,30/12/13,13/1/12,31/12/12," 7,191 ",1,1,21Jun2023
PA,3454,BR,DNV,Methane avoidance,Manure,DNV-CUK1369648843.26,30/12/13,1/11/11,31/12/12," 48,995 ",1,3,21Jun2023
PA,1600,IN,DNV,Wind,Wind,DNV-CUK1376659779.36,30/12/13,1/1/13,1/7/13," 30,729 ",2,4,21Jun2023
PA,5264,CN,GLC,Wind,Wind,Germanischer1353404441.42,30/12/13,26/9/11,28/9/12," 71,962 ",1,1,21Jun2023
PA,4056,EC,GLC,EE households,Lighting,Germanischer1362409474.49,30/12/13,21/7/11,26/12/12," 77,285 ",1,1,21Jun2023
PA,3224,CO,ICONTEC,Transport,Cable cars,ICONTEC1339017636.61,30/12/13,26/4/10,30/4/12," 16,663 ",1,1,21Jun2023
PA,1176,ID,JQA,Methane avoidance,Waste water,JQA1361853969.44,30/12/13,2/11/08,30/6/11," 190,059 ",1,1,21Jun2023
PA,4292,CN,RINA,EE own generation,Coke oven gas,RINA1377245921.16,30/12/13,1/10/12,31/12/12," 172,855 ",1,4,21Jun2023
PA,4292,CN,RINA,EE own generation,Coke oven gas,RINA1377245921.16_2,30/12/13,1/10/12,31/12/12," 52,307 ",1,5,21Jun2023
PA,4292,CN,RINA,EE own generation,Coke oven gas,RINA1377245921.16_2,30/12/13,1/1/13,31/7/13," 120,548 ",2,5,21Jun2023
PA,4274,KR,TUV NORD,PFCs and SF6,SF6,RWTUV1341379594.92,30/12/13,1/4/11,26/4/12," 101,074 ",1,1,21Jun2023
PA,97,CL,SGS,Landfill gas,Landfill flaring,SGS-UKL1215161608.9,30/12/13,1/8/07,29/6/08," 21,784 ",1,3,21Jun2023
PA,32,CL,SGS,Methane avoidance,Manure,SGS-UKL1299678120.6,30/12/13,1/1/08,31/12/10," 81,740 ",1,5,21Jun2023
PA,767,CN,SGS,HFCs,HFC23,SGS-UKL1377007892.71,30/12/13,1/5/13,25/7/13," 680,921 ",2,25,21Jun2023
PA,3745,VN,TSUS,Hydro,Run of river,TECO1342082838.82,30/12/13,30/12/11,30/6/12," 19,701 ",1,1,21Jun2023
PA,3745,VN,TSUS,Hydro,Run of river,TECO1362995289.37,30/12/13,1/7/12,31/12/12," 41,066 ",1,2,21Jun2023
PA,2509,ID,TUV NORD,Landfill gas,Landfill flaring,TUEV-RHEIN1351049015.68,30/12/13,16/2/10,15/10/12," 111,274 ",1,2,21Jun2023
PA,3393,CN,TUV SUD,Hydro,Run of river,TUEV-SUED1372668403.55,30/12/13,26/7/12,31/12/12," 17,638 ",1,3,21Jun2023
PA,802,IN,TUV SUD,Biomass Energy,Agricultural residues: rice husk,TUEV-SUED1373878881.98,30/12/13,1/1/11,31/12/12," 17,379 ",1,4,21Jun2023
PA,1685,CN,TUV SUD,EE own generation,Chemicals heat,TUEV-SUED1377490992.03,30/12/13,1/4/12,31/12/12," 162,635 ",1,5,21Jun2023
PA,1685,CN,TUV SUD,EE own generation,Chemicals heat,TUEV-SUED1377490992.03,30/12/13,1/1/13,31/7/13," 128,934 ",2,5,21Jun2023
PA,4508,AE,BVCH,EE Industry,Petrochemicals,BVQI1345626792.19,24/12/13,1/4/11,31/3/12," 2,004 ",1,1,21Jun2023
PA,4079,CN,TUV NORD,Biomass Energy,Forest residues: other,RWTUV1370260155.7,24/12/13,1/4/12,31/12/12," 139,530 ",1,2,21Jun2023
PA,4079,CN,TUV NORD,Biomass Energy,Forest residues: other,RWTUV1370260155.7,24/12/13,1/1/13,31/3/13," 36,658 ",2,2,21Jun2023
PA,1526,BR,DNV,Hydro,Run of river,DNV-CUK1370418883.05,23/12/13,1/5/11,31/12/12," 46,900 ",1,3,21Jun2023
PA,3042,SG,JACO,Landfill gas,Landfill composting,JACO1350553039.02,23/12/13,1/5/11,30/4/12," 23,716 ",1,2,21Jun2023
PA,1351,IN,TUV NORD,Transport,Rail: regenerative braking,RWTUV1372684938.52,21/12/13,1/1/12,31/12/12," 47,890 ",1,6,21Jun2023
PA,3829,CN,BVCH,Wind,Wind,BVQI1378983877.91,20/12/13,1/1/13,31/7/13," 51,306 ",2,3,21Jun2023
PA,3829,CN,BVCH,Wind,Wind,BVQI1378983877.91,20/12/13,1/6/12,31/12/12," 47,924 ",1,3,21Jun2023
PA,4502,CN,CEPREI,Hydro,Run of river,CEPREI_Cert1344579090.03,20/12/13,18/2/11,25/6/12," 29,985 ",1,1,21Jun2023
PA,177,ZA,Carbon Check,Fossil fuel switch,Coal to natural gas,CarbonCheck_Cert1346676872.69,20/12/13,1/1/07,31/12/11," 152,573 ",1,3,21Jun2023
PA,2650,ID,DNV,Methane avoidance,Waste water,DNV-CUK1370593172.17,20/12/13,1/7/11,31/12/12," 62,363 ",1,2,21Jun2023
PA,2764,CN,RINA,Wind,Wind,RINA1359456308.28,20/12/13,26/4/11,31/12/12," 154,915 ",1,2,21Jun2023
PA,1351,IN,TUV NORD,Transport,Rail: regenerative braking,RWTUV1342603438.9,20/12/13,1/1/11,31/12/11," 47,597 ",1,5,21Jun2023
PA,5652,CN,TUV NORD,Landfill gas,Landfill power,RWTUV1371455571.35,20/12/13,8/2/12,31/12/12," 29,865 ",1,1,21Jun2023
PA,5652,CN,TUV NORD,Landfill gas,Landfill power,RWTUV1371455571.35,20/12/13,1/1/13,31/3/13," 10,969 ",2,1,21Jun2023
PA,2487,JO,SGS,Landfill gas,Landfill power,SGS-UKL1316677582.2,20/12/13,11/12/09,31/12/10," 36,358 ",1,1,21Jun2023
PA,1153,MY,TUV SUD,Methane avoidance,Waste water,TUEV-SUED1302257327.24,20/12/13,1/5/09,31/1/11," 35,474 ",1,2,21Jun2023
PA,99,KR,TUV SUD,N2O,Adipic acid,TUEV-SUED1378375015.32,20/12/13,1/7/13,31/8/13," 1,704,653 ",2,70,21Jun2023
PA,4359,MU,LRQA,Landfill gas,Landfill flaring,LRQA Ltd1371542311.25,19/12/13,1/4/12,31/12/12," 30,054 ",1,1,21Jun2023
PA,3550,IN,TUV NORD,Wind,Wind,TUEV-RHEIN1335597685.06,19/12/13,16/9/10,1/1/12," 3,337 ",1,1,21Jun2023
PA,5093,CN,CQC,Hydro,Existing dam,China Quality1372667414.7,18/12/13,1/5/12,31/10/12," 76,403 ",1,1,21Jun2023
PA,984,MY,DNV,Methane avoidance,Composting,DNV-CUK1362149912.05,18/12/13,1/10/11,31/12/12," 30,851 ",1,2,21Jun2023
PA,2727,MY,DNV,Methane avoidance,Composting,DNV-CUK1362398096.19,18/12/13,1/10/11,31/12/12," 26,481 ",1,2,21Jun2023
PA,187,BR,BVCH,Biomass Energy,Bagasse power,BVQI1305220882.09,17/12/13,23/4/08,30/11/10," 47,229 ",1,4,21Jun2023
PA,1624,CN,CTI,EE own generation,Cement heat,CTI1376567580.43,17/12/13,1/7/11,31/12/12," 80,477 ",1,5,21Jun2023
PA,1624,CN,CTI,EE own generation,Cement heat,CTI1376567580.43,17/12/13,1/1/13,30/6/13," 21,965 ",2,5,21Jun2023
PA,1743,CN,CEPREI,Hydro,Run of river,CEPREI_Cert1371464438.24,16/12/13,16/3/12,31/12/12," 24,277 ",1,4,21Jun2023
PA,1622,CN,CTI,EE own generation,Cement heat,CTI1376571755.6,16/12/13,1/7/11,31/12/12," 71,630 ",1,4,21Jun2023
PA,1622,CN,CTI,EE own generation,Cement heat,CTI1376571755.6,16/12/13,1/1/13,30/6/13," 24,439 ",2,4,21Jun2023
PA,1619,CN,CTI,EE own generation,Cement heat,CTI1376572940.77,16/12/13,1/7/11,31/12/12," 118,403 ",1,4,21Jun2023
PA,1619,CN,CTI,EE own generation,Cement heat,CTI1376572940.77,16/12/13,1/1/13,30/6/13," 36,432 ",2,4,21Jun2023
PA,3055,CN,CTI,Biomass Energy,Agricultural residues: rice husk,CTI1377271308.92,16/12/13,1/1/12,31/12/12," 99,393 ",1,2,21Jun2023
PA,6203,VN,TUV NORD,Hydro,Run of river,RWTUV1375439184.17,16/12/13,1/8/12,31/12/12," 6,481 ",1,1,21Jun2023
PA,6203,VN,TUV NORD,Hydro,Run of river,RWTUV1375439184.17,16/12/13,1/1/13,31/7/13," 24,125 ",2,1,21Jun2023
PA,3724,IN,TUV NORD,Wind,Wind,TUEV-RHEIN1349669130.36,16/12/13,11/11/10,31/7/12," 26,570 ",1,1,21Jun2023
PA,941,KR,KFQ,Landfill gas,Landfill power,KFQ1348471497.24,13/12/13,1/1/11,31/12/11," 824,766 ",1,6,21Jun2023
PA,2819,IN,SGS,Wind,Wind,SGS-UKL1369820873.81,13/12/13,1/2/12,31/12/12," 96,418 ",1,3,21Jun2023
PA,2819,IN,SGS,Wind,Wind,SGS-UKL1369820873.81,13/12/13,1/1/13,30/4/13," 23,906 ",2,3,21Jun2023
